 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.063,0.000,0.228,0.000,0.109,0.115,0.071,0.032,0.000,0.000
model.000.01.pdb,0.092,0.000,0.049,0.000,0.013,0.105,0.056,0.025,0.000,0.000
model.000.02.pdb,0.000,0.177,0.418,0.175,0.190,0.070,0.172,0.141,0.000,0.051
model.000.03.pdb,0.435,0.000,0.000,0.000,0.000,0.634,0.000,0.000,0.000,0.088
model.000.04.pdb,0.017,0.094,0.145,0.093,0.038,0.089,0.039,0.018,0.000,0.030
model.000.05.pdb,0.000,0.131,0.156,0.111,0.354,0.000,0.455,0.353,0.119,0.026
model.000.06.pdb,0.000,0.043,0.083,0.042,0.190,0.000,0.308,0.237,0.129,0.000
model.000.07.pdb,0.000,0.409,0.457,0.400,0.381,0.000,0.267,0.319,0.000,0.091
model.000.08.pdb,0.388,0.000,0.000,0.000,0.000,0.380,0.000,0.000,0.000,0.027
model.000.09.pdb,0.288,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.000,0.027
