 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.031,0.056,0.463,0.000,0.000,0.161,0.203,0.000,0.000,0.100
model.000.01.pdb,0.157,0.081,0.156,0.000,0.000,0.163,0.235,0.000,0.000,0.115
model.000.02.pdb,0.069,0.104,0.591,0.000,0.000,0.230,0.227,0.000,0.000,0.134
model.000.03.pdb,0.000,0.000,0.014,0.551,0.426,0.000,0.000,0.042,0.600,0.000
model.000.04.pdb,0.000,0.025,0.523,0.029,0.059,0.091,0.130,0.000,0.014,0.043
model.000.05.pdb,0.535,0.574,0.000,0.000,0.000,0.333,0.429,0.196,0.000,0.585
model.000.06.pdb,0.175,0.224,0.288,0.000,0.000,0.412,0.393,0.000,0.000,0.259
model.000.07.pdb,0.029,0.053,0.625,0.000,0.000,0.129,0.169,0.000,0.000,0.060
model.000.08.pdb,0.000,0.000,0.138,0.250,0.315,0.000,0.000,0.000,0.233,0.000
model.000.09.pdb,0.255,0.143,0.056,0.000,0.000,0.192,0.236,0.054,0.000,0.145
