 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.000,0.000,0.395,0.000,0.294,0.000,0.500,0.041,0.321
model.000.01.pdb,0.185,0.362,0.053,0.000,0.305,0.000,0.263,0.000,0.114,0.013
model.000.02.pdb,0.062,0.014,0.000,0.164,0.000,0.203,0.000,0.127,0.074,0.133
model.000.03.pdb,0.013,0.000,0.135,0.271,0.027,0.218,0.044,0.667,0.069,0.364
model.000.04.pdb,0.226,0.260,0.204,0.000,0.382,0.000,0.315,0.000,0.149,0.071
model.000.05.pdb,0.000,0.000,0.093,0.245,0.000,0.175,0.000,0.273,0.000,0.103
model.000.06.pdb,0.000,0.000,0.071,0.292,0.000,0.214,0.000,0.291,0.000,0.101
model.000.07.pdb,0.079,0.278,0.000,0.000,0.108,0.028,0.069,0.000,0.025,0.000
model.000.08.pdb,0.000,0.000,0.049,0.269,0.000,0.220,0.000,0.339,0.000,0.143
model.000.09.pdb,0.419,0.415,0.246,0.000,0.544,0.000,0.509,0.012,0.348,0.101
