 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.387,0.369,0.149,0.312,0.197,0.621,0.279,0.474,0.421
f_min.final_model.000.01.det_cont.csv,0.387,1.000,0.627,0.224,0.164,0.352,0.375,0.125,0.130,0.103
f_min.final_model.000.02.det_cont.csv,0.369,0.627,1.000,0.345,0.266,0.551,0.338,0.183,0.157,0.147
f_min.final_model.000.03.det_cont.csv,0.149,0.224,0.345,1.000,0.533,0.455,0.068,0.358,0.062,0.200
f_min.final_model.000.04.det_cont.csv,0.312,0.164,0.266,0.533,1.000,0.268,0.178,0.549,0.267,0.490
f_min.final_model.000.05.det_cont.csv,0.197,0.352,0.551,0.455,0.268,1.000,0.209,0.233,0.127,0.133
f_min.final_model.000.06.det_cont.csv,0.621,0.375,0.338,0.068,0.178,0.209,1.000,0.171,0.509,0.317
f_min.final_model.000.07.det_cont.csv,0.279,0.125,0.183,0.358,0.549,0.233,0.171,1.000,0.234,0.490
f_min.final_model.000.08.det_cont.csv,0.474,0.130,0.157,0.062,0.267,0.127,0.509,0.234,1.000,0.490
f_min.final_model.000.09.det_cont.csv,0.421,0.103,0.147,0.200,0.490,0.133,0.317,0.490,0.490,1.000
