 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.113,0.015,0.047,0.000,0.231,0.072,0.129,0.203,0.316,0.000
f_min.final_model.000.01.det_cont.csv,0.040,0.444,0.692,0.488,0.215,0.404,0.211,0.013,0.000,0.207
f_min.final_model.000.02.det_cont.csv,0.171,0.030,0.000,0.032,0.258,0.132,0.217,0.270,0.560,0.042
f_min.final_model.000.03.det_cont.csv,0.065,0.015,0.061,0.000,0.203,0.055,0.090,0.143,0.300,0.000
f_min.final_model.000.04.det_cont.csv,0.390,0.190,0.186,0.182,0.092,0.085,0.123,0.290,0.164,0.574
f_min.final_model.000.05.det_cont.csv,0.162,0.138,0.218,0.127,0.509,0.254,0.346,0.203,0.172,0.014
f_min.final_model.000.06.det_cont.csv,0.169,0.050,0.016,0.035,0.222,0.145,0.196,0.276,0.532,0.030
f_min.final_model.000.07.det_cont.csv,0.037,0.000,0.014,0.000,0.036,0.013,0.000,0.000,0.038,0.013
f_min.final_model.000.08.det_cont.csv,0.383,0.207,0.127,0.179,0.500,0.368,0.510,0.397,0.463,0.136
f_min.final_model.000.09.det_cont.csv,0.323,0.211,0.167,0.182,0.051,0.069,0.090,0.231,0.147,0.480
