 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.510,0.508,0.316,0.346,0.305,0.295,0.500,0.351,0.079
f_min.final_model.000.01.det_cont.csv,0.510,1.000,0.282,0.360,0.500,0.167,0.600,0.333,0.522,0.151
f_min.final_model.000.02.det_cont.csv,0.508,0.282,1.000,0.290,0.183,0.230,0.208,0.464,0.182,0.038
f_min.final_model.000.03.det_cont.csv,0.316,0.360,0.290,1.000,0.271,0.079,0.296,0.300,0.236,0.283
f_min.final_model.000.04.det_cont.csv,0.346,0.500,0.183,0.271,1.000,0.050,0.625,0.197,0.537,0.286
f_min.final_model.000.05.det_cont.csv,0.305,0.167,0.230,0.079,0.050,1.000,0.091,0.429,0.148,0.000
f_min.final_model.000.06.det_cont.csv,0.295,0.600,0.208,0.296,0.625,0.091,1.000,0.206,0.565,0.235
f_min.final_model.000.07.det_cont.csv,0.500,0.333,0.464,0.300,0.197,0.429,0.206,1.000,0.176,0.076
f_min.final_model.000.08.det_cont.csv,0.351,0.522,0.182,0.236,0.537,0.148,0.565,0.176,1.000,0.245
f_min.final_model.000.09.det_cont.csv,0.079,0.151,0.038,0.283,0.286,0.000,0.235,0.076,0.245,1.000
