 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.029,0.568,0.000,0.043,0.177,0.186,0.015,0.000,0.121,0.197
f_min.final_model.000.01.det_cont.csv,0.057,0.404,0.116,0.041,0.100,0.276,0.127,0.013,0.322,0.055
f_min.final_model.000.02.det_cont.csv,0.000,0.138,0.000,0.000,0.857,0.000,0.000,0.125,0.082,0.773
f_min.final_model.000.03.det_cont.csv,0.164,0.148,0.233,0.088,0.276,0.246,0.259,0.000,0.364,0.298
f_min.final_model.000.04.det_cont.csv,0.072,0.327,0.149,0.041,0.116,0.233,0.145,0.000,0.418,0.085
f_min.final_model.000.05.det_cont.csv,0.200,0.085,0.227,0.125,0.266,0.200,0.271,0.012,0.439,0.209
f_min.final_model.000.06.det_cont.csv,0.000,0.308,0.014,0.000,0.440,0.000,0.015,0.014,0.106,0.440
f_min.final_model.000.07.det_cont.csv,0.167,0.169,0.250,0.111,0.159,0.375,0.233,0.000,0.500,0.111
f_min.final_model.000.08.det_cont.csv,0.276,0.028,0.481,0.242,0.149,0.156,0.511,0.013,0.592,0.116
f_min.final_model.000.09.det_cont.csv,0.034,0.176,0.103,0.032,0.123,0.245,0.094,0.000,0.383,0.085
