 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv
finalmodel.000.00.det_cont.csv,1.000,0.161,0.133,0.300,0.531,0.280,0.267,0.426,0.309,0.061
finalmodel.000.01.det_cont.csv,0.161,1.000,0.258,0.500,0.308,0.121,0.340,0.100,0.519,0.516
finalmodel.000.02.det_cont.csv,0.133,0.258,1.000,0.127,0.080,0.429,0.260,0.141,0.147,0.368
finalmodel.000.03.det_cont.csv,0.300,0.500,0.127,1.000,0.560,0.117,0.463,0.228,0.786,0.268
finalmodel.000.04.det_cont.csv,0.531,0.308,0.080,0.560,1.000,0.167,0.296,0.429,0.545,0.149
finalmodel.000.05.det_cont.csv,0.280,0.121,0.429,0.117,0.167,1.000,0.283,0.255,0.121,0.156
finalmodel.000.06.det_cont.csv,0.267,0.340,0.260,0.463,0.296,0.283,1.000,0.265,0.457,0.206
finalmodel.000.07.det_cont.csv,0.426,0.100,0.141,0.228,0.429,0.255,0.265,1.000,0.242,0.011
finalmodel.000.08.det_cont.csv,0.309,0.519,0.147,0.786,0.545,0.121,0.457,0.242,1.000,0.311
finalmodel.000.09.det_cont.csv,0.061,0.516,0.368,0.268,0.149,0.156,0.206,0.011,0.311,1.000
