 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.096,0.000,0.000,0.000,0.059,0.000,0.155,0.042,0.263,0.131
f_min.final_model.000.01.det_cont.csv,0.082,0.141,0.206,0.524,0.340,0.294,0.013,0.480,0.000,0.133
f_min.final_model.000.02.det_cont.csv,0.153,0.000,0.013,0.000,0.119,0.000,0.232,0.083,0.389,0.200
f_min.final_model.000.03.det_cont.csv,0.051,0.000,0.000,0.000,0.042,0.000,0.090,0.054,0.172,0.075
f_min.final_model.000.04.det_cont.csv,0.431,0.791,0.702,0.214,0.154,0.400,0.393,0.114,0.172,0.125
f_min.final_model.000.05.det_cont.csv,0.159,0.000,0.000,0.083,0.220,0.000,0.155,0.250,0.286,0.353
f_min.final_model.000.06.det_cont.csv,0.149,0.000,0.014,0.000,0.131,0.000,0.234,0.091,0.353,0.200
f_min.final_model.000.07.det_cont.csv,0.036,0.127,0.092,0.000,0.000,0.014,0.035,0.000,0.000,0.000
f_min.final_model.000.08.det_cont.csv,0.400,0.054,0.095,0.113,0.357,0.060,0.323,0.295,0.551,0.490
f_min.final_model.000.09.det_cont.csv,0.339,0.711,0.739,0.236,0.154,0.458,0.349,0.083,0.119,0.091
