 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.400,0.164,0.630,0.420,0.339,0.489,0.182,0.574,0.259,0.449,0.000,0.000,0.147,0.298,0.042,0.333,0.083,0.060,0.588,0.164,0.097,0.260,0.167,0.604,0.682,0.659,0.197,0.293,0.418,0.581
model.000.01.pdb,0.032,0.129,0.000,0.091,0.188,0.060,0.317,0.024,0.131,0.075,0.000,0.152,0.411,0.000,0.357,0.000,0.519,0.108,0.000,0.075,0.380,0.085,0.000,0.026,0.014,0.015,0.276,0.101,0.013,0.030
model.000.02.pdb,0.341,0.321,0.578,0.340,0.268,0.347,0.121,0.528,0.164,0.457,0.000,0.014,0.104,0.228,0.076,0.236,0.057,0.000,0.510,0.047,0.049,0.204,0.200,0.553,0.707,0.561,0.150,0.511,0.574,0.455
model.000.03.pdb,0.000,0.164,0.271,0.014,0.014,0.045,0.000,0.349,0.000,0.044,0.138,0.056,0.000,0.423,0.000,0.500,0.000,0.076,0.373,0.127,0.000,0.000,0.667,0.185,0.194,0.214,0.000,0.154,0.322,0.046
model.000.04.pdb,0.442,0.283,0.574,0.429,0.370,0.468,0.203,0.500,0.264,0.556,0.000,0.000,0.185,0.217,0.072,0.203,0.100,0.000,0.509,0.045,0.117,0.319,0.169,0.652,0.738,0.595,0.241,0.451,0.510,0.558
model.000.05.pdb,0.514,0.092,0.283,0.684,0.659,0.703,0.420,0.258,0.564,0.600,0.000,0.000,0.365,0.136,0.046,0.102,0.224,0.000,0.254,0.085,0.196,0.474,0.033,0.458,0.396,0.419,0.404,0.153,0.224,0.649
model.000.06.pdb,0.308,0.383,0.569,0.333,0.290,0.339,0.169,0.636,0.159,0.490,0.000,0.026,0.137,0.215,0.111,0.262,0.122,0.000,0.509,0.056,0.159,0.214,0.271,0.577,0.612,0.404,0.200,0.481,0.694,0.352
model.000.07.pdb,0.000,0.175,0.246,0.015,0.014,0.031,0.000,0.328,0.000,0.031,0.107,0.060,0.000,0.429,0.000,0.478,0.000,0.047,0.351,0.098,0.000,0.000,0.650,0.159,0.186,0.185,0.000,0.145,0.345,0.032
model.000.08.pdb,0.074,0.014,0.296,0.100,0.077,0.161,0.028,0.356,0.086,0.082,0.130,0.000,0.028,0.533,0.000,0.558,0.000,0.119,0.434,0.222,0.000,0.055,0.444,0.200,0.211,0.235,0.030,0.061,0.197,0.167
model.000.09.pdb,0.000,0.141,0.258,0.014,0.026,0.043,0.000,0.354,0.000,0.057,0.190,0.040,0.000,0.400,0.000,0.471,0.000,0.057,0.377,0.104,0.000,0.000,0.659,0.176,0.203,0.203,0.000,0.164,0.328,0.060
