 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.013,0.062,0.628,0.028,0.056,0.136,0.125,0.000,0.013,0.056,0.000,0.179,0.000,0.000,0.095,0.578,0.080,0.082,0.404,0.340
model.000.01.pdb,0.000,0.014,0.429,0.085,0.121,0.048,0.000,0.000,0.046,0.000,0.000,0.232,0.000,0.000,0.145,0.564,0.000,0.150,0.366,0.462
model.000.02.pdb,0.000,0.000,0.111,0.175,0.339,0.027,0.000,0.000,0.200,0.000,0.041,0.145,0.000,0.000,0.095,0.145,0.000,0.411,0.082,0.175
model.000.03.pdb,0.000,0.000,0.000,0.548,0.404,0.000,0.000,0.033,0.643,0.000,0.196,0.207,0.000,0.000,0.161,0.016,0.000,0.094,0.000,0.074
model.000.04.pdb,0.000,0.000,0.136,0.392,0.385,0.000,0.000,0.000,0.415,0.000,0.014,0.767,0.000,0.000,0.625,0.236,0.000,0.027,0.286,0.391
model.000.05.pdb,0.000,0.000,0.000,0.326,0.409,0.000,0.000,0.000,0.383,0.000,0.105,0.158,0.000,0.000,0.097,0.036,0.000,0.200,0.000,0.059
model.000.06.pdb,0.000,0.000,0.028,0.592,0.386,0.000,0.000,0.041,0.608,0.000,0.067,0.431,0.000,0.000,0.574,0.087,0.000,0.025,0.094,0.183
model.000.07.pdb,0.000,0.000,0.513,0.086,0.143,0.016,0.000,0.000,0.047,0.000,0.000,0.360,0.000,0.000,0.207,0.667,0.000,0.079,0.571,0.600
model.000.08.pdb,0.000,0.000,0.500,0.085,0.140,0.016,0.000,0.000,0.046,0.000,0.000,0.380,0.000,0.000,0.224,0.649,0.000,0.062,0.697,0.583
model.000.09.pdb,0.426,0.417,0.000,0.000,0.000,0.210,0.266,0.500,0.000,0.382,0.310,0.000,0.625,0.482,0.000,0.000,0.328,0.039,0.000,0.000
model.000.10.pdb,0.520,0.474,0.078,0.000,0.000,0.423,0.600,0.164,0.000,0.562,0.103,0.000,0.510,0.547,0.000,0.029,0.600,0.040,0.032,0.000
model.000.11.pdb,0.028,0.052,0.535,0.000,0.000,0.145,0.167,0.000,0.000,0.075,0.000,0.119,0.000,0.039,0.041,0.367,0.132,0.014,0.348,0.167
model.000.12.pdb,0.000,0.000,0.208,0.170,0.400,0.000,0.000,0.000,0.158,0.000,0.000,0.314,0.000,0.000,0.211,0.341,0.000,0.241,0.256,0.410
model.000.13.pdb,0.426,0.532,0.096,0.000,0.000,0.574,0.655,0.051,0.000,0.536,0.036,0.000,0.313,0.292,0.000,0.038,0.717,0.156,0.027,0.000
model.000.14.pdb,0.000,0.000,0.000,0.524,0.327,0.000,0.000,0.088,0.581,0.000,0.179,0.211,0.000,0.000,0.246,0.017,0.000,0.045,0.000,0.056
model.000.15.pdb,0.283,0.417,0.111,0.000,0.000,0.562,0.473,0.029,0.000,0.434,0.027,0.000,0.219,0.122,0.000,0.076,0.421,0.162,0.000,0.000
model.000.16.pdb,0.000,0.013,0.564,0.048,0.082,0.065,0.029,0.000,0.030,0.000,0.000,0.250,0.000,0.000,0.125,0.676,0.014,0.111,0.541,0.450
model.000.17.pdb,0.013,0.037,0.605,0.000,0.028,0.121,0.127,0.000,0.000,0.042,0.000,0.130,0.013,0.025,0.067,0.489,0.111,0.068,0.354,0.245
model.000.18.pdb,0.013,0.063,0.725,0.000,0.028,0.156,0.159,0.000,0.000,0.071,0.000,0.164,0.000,0.012,0.081,0.556,0.111,0.083,0.413,0.294
model.000.19.pdb,0.000,0.028,0.475,0.105,0.143,0.067,0.014,0.000,0.063,0.016,0.000,0.283,0.000,0.000,0.167,0.579,0.000,0.133,0.375,0.514
