 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.106,0.417,0.549,0.259,0.179,0.115,0.250,0.214,0.022,0.000,0.137,0.137,0.130,0.333,0.000,0.305,0.000,0.000,0.000,0.071
model.000.01.pdb,0.511,0.000,0.121,0.000,0.000,0.000,0.111,0.312,0.000,0.207,0.368,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.707
model.000.02.pdb,0.000,0.000,0.000,0.000,0.101,0.120,0.000,0.000,0.397,0.075,0.000,0.096,0.136,0.000,0.653,0.000,0.630,0.509,0.653,0.000
model.000.03.pdb,0.048,0.579,0.392,0.354,0.291,0.197,0.218,0.154,0.037,0.000,0.071,0.230,0.167,0.463,0.000,0.255,0.000,0.000,0.000,0.015
model.000.04.pdb,0.000,0.015,0.013,0.014,0.185,0.232,0.000,0.000,0.679,0.000,0.000,0.191,0.134,0.015,0.439,0.000,0.333,0.446,0.547,0.000
model.000.05.pdb,0.156,0.063,0.301,0.011,0.056,0.073,0.000,0.120,0.259,0.000,0.010,0.053,0.011,0.037,0.087,0.022,0.022,0.100,0.099,0.083
model.000.06.pdb,0.082,0.356,0.600,0.200,0.200,0.143,0.079,0.173,0.077,0.000,0.027,0.169,0.092,0.271,0.000,0.148,0.000,0.000,0.000,0.015
model.000.07.pdb,0.000,0.041,0.000,0.244,0.216,0.250,0.115,0.000,0.104,0.000,0.082,0.179,0.419,0.085,0.155,0.034,0.173,0.100,0.175,0.000
model.000.08.pdb,0.000,0.553,0.129,0.730,0.346,0.322,0.347,0.035,0.000,0.000,0.121,0.370,0.468,0.686,0.000,0.236,0.000,0.000,0.000,0.000
model.000.09.pdb,0.000,0.341,0.129,0.280,0.667,0.592,0.065,0.000,0.188,0.000,0.000,0.609,0.353,0.341,0.071,0.015,0.062,0.104,0.136,0.000
model.000.10.pdb,0.000,0.381,0.113,0.658,0.255,0.222,0.477,0.055,0.000,0.016,0.217,0.237,0.333,0.450,0.000,0.340,0.000,0.000,0.000,0.000
model.000.11.pdb,0.000,0.441,0.304,0.256,0.333,0.236,0.037,0.000,0.075,0.000,0.000,0.280,0.180,0.361,0.000,0.036,0.000,0.000,0.000,0.000
model.000.12.pdb,0.409,0.075,0.214,0.069,0.000,0.000,0.255,0.500,0.000,0.067,0.385,0.000,0.000,0.075,0.000,0.404,0.000,0.000,0.000,0.422
model.000.13.pdb,0.030,0.561,0.230,0.500,0.271,0.203,0.449,0.103,0.000,0.014,0.215,0.254,0.276,0.524,0.000,0.460,0.000,0.000,0.000,0.014
model.000.14.pdb,0.000,0.041,0.024,0.052,0.243,0.319,0.000,0.000,0.623,0.025,0.000,0.282,0.178,0.056,0.460,0.000,0.303,0.468,0.484,0.000
model.000.15.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.232,0.131,0.000,0.000,0.000,0.000,0.529,0.000,0.333,0.481,0.368,0.030
model.000.16.pdb,0.000,0.300,0.070,0.346,0.617,0.585,0.125,0.000,0.114,0.000,0.026,0.702,0.596,0.354,0.080,0.057,0.071,0.067,0.080,0.000
model.000.17.pdb,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.424,0.015,0.000,0.013,0.014,0.000,0.510,0.000,0.291,0.490,0.351,0.000
model.000.18.pdb,0.000,0.057,0.090,0.039,0.288,0.348,0.000,0.000,0.617,0.000,0.000,0.309,0.167,0.057,0.304,0.000,0.183,0.328,0.406,0.000
model.000.19.pdb,0.000,0.015,0.026,0.000,0.182,0.246,0.000,0.000,0.667,0.028,0.000,0.188,0.116,0.015,0.407,0.000,0.426,0.439,0.566,0.000
