 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,1.000,0.327,0.169,0.000,0.564,0.000,0.620,0.053,0.776,0.181,0.000,0.208,0.120,0.000,0.216,0.000,0.000,0.000,0.000,0.171
model.000.01.pdb,0.327,1.000,0.018,0.000,0.377,0.000,0.283,0.000,0.233,0.000,0.000,0.042,0.000,0.014,0.132,0.000,0.000,0.000,0.000,0.000
model.000.02.pdb,0.169,0.018,1.000,0.000,0.190,0.000,0.280,0.125,0.228,0.308,0.051,0.045,0.241,0.048,0.000,0.032,0.000,0.000,0.000,0.413
model.000.03.pdb,0.000,0.000,0.000,1.000,0.000,0.632,0.000,0.204,0.000,0.061,0.067,0.014,0.078,0.015,0.071,0.500,0.208,0.131,0.119,0.031
model.000.04.pdb,0.564,0.377,0.190,0.000,1.000,0.000,0.723,0.026,0.500,0.133,0.000,0.087,0.077,0.012,0.098,0.000,0.000,0.000,0.000,0.123
model.000.05.pdb,0.000,0.000,0.000,0.632,0.000,1.000,0.000,0.145,0.000,0.027,0.111,0.026,0.042,0.042,0.080,0.440,0.321,0.172,0.200,0.000
model.000.06.pdb,0.620,0.283,0.280,0.000,0.723,0.000,1.000,0.056,0.608,0.194,0.000,0.108,0.129,0.013,0.118,0.000,0.000,0.000,0.000,0.185
model.000.07.pdb,0.053,0.000,0.125,0.204,0.026,0.145,0.056,1.000,0.110,0.411,0.043,0.125,0.560,0.000,0.037,0.250,0.014,0.068,0.027,0.434
model.000.08.pdb,0.776,0.233,0.228,0.000,0.500,0.000,0.608,0.110,1.000,0.265,0.000,0.239,0.197,0.000,0.230,0.000,0.000,0.000,0.000,0.258
model.000.09.pdb,0.181,0.000,0.308,0.061,0.133,0.027,0.194,0.411,0.265,1.000,0.013,0.178,0.694,0.000,0.085,0.081,0.000,0.012,0.013,0.620
model.000.10.pdb,0.000,0.000,0.051,0.067,0.000,0.111,0.000,0.043,0.000,0.013,1.000,0.000,0.055,0.434,0.000,0.254,0.469,0.638,0.682,0.042
model.000.11.pdb,0.208,0.042,0.045,0.014,0.087,0.026,0.108,0.125,0.239,0.178,0.000,1.000,0.197,0.000,0.569,0.000,0.000,0.000,0.000,0.169
model.000.12.pdb,0.120,0.000,0.241,0.078,0.077,0.042,0.129,0.560,0.197,0.694,0.055,0.197,1.000,0.000,0.114,0.145,0.000,0.038,0.026,0.569
model.000.13.pdb,0.000,0.014,0.048,0.015,0.012,0.042,0.013,0.000,0.000,0.000,0.434,0.000,0.000,1.000,0.000,0.099,0.333,0.446,0.368,0.000
model.000.14.pdb,0.216,0.132,0.000,0.071,0.098,0.080,0.118,0.037,0.230,0.085,0.000,0.569,0.114,0.000,1.000,0.037,0.012,0.000,0.000,0.062
model.000.15.pdb,0.000,0.000,0.032,0.500,0.000,0.440,0.000,0.250,0.000,0.081,0.254,0.000,0.145,0.099,0.037,1.000,0.345,0.362,0.333,0.055
model.000.16.pdb,0.000,0.000,0.000,0.208,0.000,0.321,0.000,0.014,0.000,0.000,0.469,0.000,0.000,0.333,0.012,0.345,1.000,0.540,0.609,0.000
model.000.17.pdb,0.000,0.000,0.000,0.131,0.000,0.172,0.000,0.068,0.000,0.012,0.638,0.000,0.038,0.446,0.000,0.362,0.540,1.000,0.681,0.000
model.000.18.pdb,0.000,0.000,0.000,0.119,0.000,0.200,0.000,0.027,0.000,0.013,0.682,0.000,0.026,0.368,0.000,0.333,0.609,0.681,1.000,0.013
model.000.19.pdb,0.171,0.000,0.413,0.031,0.123,0.000,0.185,0.434,0.258,0.620,0.042,0.169,0.569,0.000,0.062,0.055,0.000,0.000,0.013,1.000
