 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.333,0.000,0.391,0.188,0.121,0.321,0.000,0.264,0.133,0.152,0.113,0.396,0.075,0.318,0.103,0.185,0.000,0.346,0.015,0.391
model.000.01.pdb,0.000,0.266,0.000,0.040,0.015,0.000,0.259,0.000,0.014,0.083,0.014,0.000,0.028,0.000,0.055,0.000,0.063,0.000,0.015,0.000
model.000.02.pdb,0.431,0.023,0.103,0.074,0.169,0.110,0.000,0.147,0.013,0.192,0.081,0.130,0.064,0.078,0.229,0.103,0.134,0.110,0.132,0.531
model.000.03.pdb,0.217,0.026,0.413,0.185,0.065,0.315,0.031,0.214,0.327,0.085,0.077,0.478,0.074,0.475,0.101,0.140,0.000,0.365,0.000,0.204
model.000.04.pdb,0.000,0.290,0.000,0.013,0.000,0.000,0.489,0.000,0.113,0.069,0.000,0.000,0.000,0.000,0.101,0.000,0.015,0.000,0.000,0.000
model.000.05.pdb,0.141,0.000,0.477,0.328,0.065,0.420,0.000,0.236,0.255,0.000,0.167,0.214,0.177,0.639,0.000,0.182,0.000,0.392,0.000,0.083
model.000.06.pdb,0.175,0.000,0.535,0.393,0.098,0.500,0.000,0.302,0.228,0.000,0.224,0.211,0.213,0.667,0.000,0.269,0.000,0.469,0.015,0.100
model.000.07.pdb,0.039,0.132,0.000,0.012,0.143,0.000,0.043,0.014,0.000,0.012,0.070,0.000,0.097,0.000,0.012,0.000,0.469,0.000,0.281,0.000
model.000.08.pdb,0.219,0.000,0.522,0.414,0.092,0.490,0.000,0.281,0.194,0.012,0.250,0.259,0.238,0.600,0.013,0.273,0.000,0.490,0.014,0.148
model.000.09.pdb,0.000,0.508,0.000,0.000,0.000,0.000,0.491,0.000,0.157,0.254,0.000,0.013,0.000,0.000,0.205,0.000,0.000,0.000,0.000,0.000
model.000.10.pdb,0.219,0.000,0.250,0.577,0.511,0.462,0.000,0.490,0.000,0.000,0.744,0.000,0.696,0.067,0.000,0.628,0.109,0.357,0.263,0.094
model.000.11.pdb,0.349,0.000,0.481,0.589,0.279,0.627,0.000,0.538,0.080,0.023,0.491,0.127,0.441,0.246,0.011,0.604,0.026,0.596,0.113,0.242
model.000.12.pdb,0.242,0.000,0.533,0.528,0.228,0.705,0.000,0.469,0.106,0.000,0.396,0.143,0.351,0.370,0.000,0.500,0.014,0.667,0.092,0.169
model.000.13.pdb,0.237,0.013,0.477,0.203,0.065,0.340,0.015,0.236,0.255,0.132,0.094,0.511,0.090,0.475,0.118,0.140,0.000,0.420,0.000,0.275
model.000.14.pdb,0.449,0.000,0.432,0.154,0.085,0.278,0.000,0.294,0.136,0.119,0.079,0.375,0.044,0.267,0.104,0.212,0.000,0.408,0.016,0.537
model.000.15.pdb,0.064,0.216,0.000,0.000,0.013,0.000,0.027,0.000,0.000,0.359,0.000,0.040,0.000,0.000,0.344,0.000,0.169,0.000,0.116,0.103
model.000.16.pdb,0.000,0.500,0.000,0.000,0.000,0.000,0.574,0.000,0.169,0.235,0.000,0.071,0.000,0.000,0.297,0.000,0.000,0.000,0.000,0.000
model.000.17.pdb,0.000,0.525,0.000,0.000,0.000,0.000,0.571,0.000,0.179,0.243,0.000,0.083,0.000,0.000,0.365,0.000,0.000,0.000,0.000,0.014
model.000.18.pdb,0.074,0.000,0.048,0.453,0.347,0.203,0.000,0.193,0.000,0.000,0.522,0.000,0.659,0.017,0.000,0.275,0.200,0.127,0.288,0.000
model.000.19.pdb,0.183,0.083,0.167,0.042,0.000,0.113,0.102,0.048,0.340,0.190,0.000,0.571,0.000,0.188,0.233,0.033,0.000,0.150,0.000,0.286
