 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.327,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.025,0.000,0.012,0.522,0.340,0.000,0.152,0.015,0.235,0.013,0.491
model.000.01.pdb,0.172,0.000,0.068,0.000,0.000,0.226,0.000,0.000,0.000,0.012,0.012,0.091,0.412,0.259,0.000,0.182,0.015,0.275,0.066,0.653
model.000.02.pdb,0.000,0.240,0.396,0.235,0.289,0.032,0.213,0.192,0.000,0.029,0.056,0.490,0.109,0.000,0.062,0.000,0.239,0.256,0.591,0.111
model.000.03.pdb,0.160,0.000,0.047,0.000,0.013,0.173,0.067,0.037,0.000,0.011,0.126,0.021,0.235,0.232,0.152,0.452,0.000,0.100,0.033,0.453
model.000.04.pdb,0.000,0.261,0.500,0.255,0.500,0.000,0.514,0.450,0.000,0.015,0.203,0.380,0.000,0.000,0.231,0.016,0.104,0.020,0.467,0.000
model.000.05.pdb,0.153,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.200,0.013,0.145,0.000,0.000,0.138,0.091,0.145,0.000,0.000,0.000,0.028
model.000.06.pdb,0.061,0.193,0.043,0.190,0.085,0.000,0.033,0.133,0.721,0.345,0.038,0.026,0.000,0.015,0.057,0.000,0.068,0.000,0.041,0.000
model.000.07.pdb,0.095,0.000,0.091,0.000,0.033,0.148,0.033,0.015,0.000,0.000,0.067,0.099,0.320,0.136,0.058,0.286,0.000,0.229,0.087,0.500
model.000.08.pdb,0.186,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.038,0.013,0.264,0.283,0.028,0.327,0.000,0.111,0.000,0.583
model.000.09.pdb,0.015,0.333,0.078,0.300,0.132,0.000,0.054,0.208,0.522,0.396,0.041,0.071,0.000,0.000,0.045,0.000,0.135,0.000,0.059,0.000
model.000.10.pdb,0.320,0.000,0.000,0.000,0.000,0.288,0.000,0.000,0.000,0.028,0.000,0.000,0.286,0.455,0.000,0.211,0.000,0.098,0.000,0.500
model.000.11.pdb,0.316,0.000,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.064,0.000,0.000,0.565,0.352,0.000,0.182,0.030,0.300,0.025,0.500
model.000.12.pdb,0.048,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.353,0.074,0.134,0.000,0.000,0.033,0.113,0.079,0.000,0.000,0.000,0.000
model.000.13.pdb,0.268,0.000,0.000,0.000,0.000,0.241,0.000,0.000,0.000,0.013,0.012,0.000,0.283,0.380,0.014,0.298,0.000,0.109,0.000,0.540
model.000.14.pdb,0.000,0.085,0.468,0.083,0.277,0.031,0.283,0.164,0.000,0.000,0.116,0.442,0.105,0.000,0.129,0.015,0.113,0.217,0.532,0.125
model.000.15.pdb,0.103,0.000,0.040,0.000,0.000,0.169,0.000,0.000,0.000,0.000,0.036,0.063,0.333,0.159,0.026,0.345,0.015,0.275,0.066,0.653
model.000.16.pdb,0.533,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.043,0.085,0.000,0.000,0.222,0.675,0.000,0.108,0.000,0.073,0.000,0.339
model.000.17.pdb,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.014,0.200,0.000,0.000,0.066,0.164,0.129,0.000,0.000,0.000,0.014
model.000.18.pdb,0.000,0.081,0.161,0.079,0.312,0.000,0.512,0.340,0.058,0.013,0.667,0.099,0.000,0.000,0.587,0.075,0.000,0.000,0.136,0.000
model.000.19.pdb,0.154,0.000,0.054,0.000,0.000,0.188,0.000,0.000,0.000,0.000,0.036,0.077,0.358,0.217,0.026,0.238,0.015,0.275,0.066,0.723
