 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,1.000,0.538,0.000,0.000,0.000,0.458,0.551,0.155,0.000,0.578,0.060,0.000,0.553,0.500,0.000,0.000,0.490,0.057,0.000,0.000
model.000.01.pdb,0.538,1.000,0.043,0.000,0.000,0.529,0.585,0.190,0.000,0.717,0.082,0.000,0.558,0.433,0.000,0.028,0.527,0.065,0.000,0.000
model.000.02.pdb,0.000,0.043,1.000,0.000,0.016,0.086,0.113,0.000,0.000,0.049,0.000,0.175,0.000,0.014,0.062,0.639,0.078,0.047,0.500,0.310
model.000.03.pdb,0.000,0.000,0.000,1.000,0.558,0.000,0.000,0.016,0.750,0.000,0.115,0.392,0.000,0.000,0.352,0.086,0.000,0.044,0.036,0.180
model.000.04.pdb,0.000,0.000,0.016,0.558,1.000,0.000,0.000,0.000,0.543,0.000,0.015,0.412,0.000,0.000,0.321,0.123,0.000,0.161,0.073,0.250
model.000.05.pdb,0.458,0.529,0.086,0.000,0.000,1.000,0.609,0.032,0.000,0.568,0.000,0.000,0.291,0.246,0.000,0.067,0.542,0.075,0.000,0.000
model.000.06.pdb,0.551,0.585,0.113,0.000,0.000,0.609,1.000,0.076,0.000,0.667,0.042,0.000,0.351,0.344,0.000,0.045,0.702,0.054,0.032,0.000
model.000.07.pdb,0.155,0.190,0.000,0.016,0.000,0.032,0.076,1.000,0.030,0.138,0.375,0.015,0.308,0.197,0.044,0.000,0.092,0.000,0.000,0.000
model.000.08.pdb,0.000,0.000,0.000,0.750,0.543,0.000,0.000,0.030,1.000,0.000,0.125,0.364,0.000,0.000,0.351,0.047,0.000,0.056,0.016,0.125
model.000.09.pdb,0.578,0.717,0.049,0.000,0.000,0.568,0.667,0.138,0.000,1.000,0.094,0.000,0.500,0.375,0.000,0.016,0.630,0.058,0.017,0.000
model.000.10.pdb,0.060,0.082,0.000,0.115,0.015,0.000,0.042,0.375,0.125,0.094,1.000,0.000,0.180,0.085,0.014,0.000,0.071,0.028,0.000,0.000
model.000.11.pdb,0.000,0.000,0.175,0.392,0.412,0.000,0.000,0.015,0.364,0.000,0.000,1.000,0.000,0.000,0.560,0.308,0.000,0.041,0.340,0.488
model.000.12.pdb,0.553,0.558,0.000,0.000,0.000,0.291,0.351,0.308,0.000,0.500,0.180,0.000,1.000,0.549,0.000,0.000,0.426,0.042,0.000,0.000
model.000.13.pdb,0.500,0.433,0.014,0.000,0.000,0.246,0.344,0.197,0.000,0.375,0.085,0.000,0.549,1.000,0.000,0.000,0.344,0.039,0.015,0.000
model.000.14.pdb,0.000,0.000,0.062,0.352,0.321,0.000,0.000,0.044,0.351,0.000,0.014,0.560,0.000,0.000,1.000,0.167,0.000,0.040,0.182,0.294
model.000.15.pdb,0.000,0.028,0.639,0.086,0.123,0.067,0.045,0.000,0.047,0.016,0.000,0.308,0.000,0.000,0.167,1.000,0.029,0.046,0.528,0.556
model.000.16.pdb,0.490,0.527,0.078,0.000,0.000,0.542,0.702,0.092,0.000,0.630,0.071,0.000,0.426,0.344,0.000,0.029,1.000,0.054,0.032,0.000
model.000.17.pdb,0.057,0.065,0.047,0.044,0.161,0.075,0.054,0.000,0.056,0.058,0.028,0.041,0.042,0.039,0.040,0.046,0.054,1.000,0.016,0.049
model.000.18.pdb,0.000,0.000,0.500,0.036,0.073,0.000,0.032,0.000,0.016,0.017,0.000,0.340,0.000,0.015,0.182,0.528,0.032,0.016,1.000,0.500
model.000.19.pdb,0.000,0.000,0.310,0.180,0.250,0.000,0.000,0.000,0.125,0.000,0.000,0.488,0.000,0.000,0.294,0.556,0.000,0.049,0.500,1.000
