 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.468,0.111,0.451,0.702,0.660,0.169,0.000,0.122,0.000,0.024,0.750,0.519,0.568,0.062,0.099,0.053,0.063,0.076,0.000
model.000.01.pdb,0.000,0.844,0.250,0.524,0.429,0.300,0.222,0.035,0.038,0.000,0.057,0.345,0.302,0.788,0.000,0.172,0.000,0.000,0.000,0.000
model.000.02.pdb,0.213,0.278,0.905,0.156,0.143,0.100,0.118,0.380,0.045,0.000,0.120,0.120,0.082,0.211,0.000,0.238,0.000,0.000,0.000,0.134
model.000.03.pdb,0.585,0.017,0.268,0.016,0.000,0.000,0.196,0.538,0.000,0.098,0.364,0.000,0.000,0.017,0.000,0.327,0.000,0.000,0.000,0.523
model.000.04.pdb,0.092,0.179,0.069,0.340,0.116,0.104,0.780,0.119,0.000,0.106,0.528,0.095,0.169,0.200,0.000,0.531,0.000,0.000,0.000,0.106
model.000.05.pdb,0.564,0.057,0.396,0.034,0.000,0.000,0.125,1.000,0.000,0.033,0.203,0.000,0.000,0.037,0.000,0.275,0.000,0.000,0.000,0.340
model.000.06.pdb,0.200,0.074,0.105,0.147,0.024,0.022,0.481,0.217,0.000,0.250,0.872,0.023,0.051,0.074,0.000,0.547,0.000,0.000,0.000,0.270
model.000.07.pdb,0.000,0.611,0.150,0.750,0.380,0.328,0.327,0.036,0.000,0.000,0.106,0.377,0.447,0.706,0.000,0.196,0.000,0.000,0.000,0.000
model.000.08.pdb,0.000,0.553,0.111,0.882,0.400,0.345,0.320,0.017,0.000,0.000,0.121,0.370,0.500,0.639,0.000,0.193,0.000,0.000,0.000,0.000
model.000.09.pdb,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.169,0.000,0.000,0.000,0.000,0.393,0.000,0.254,0.474,0.288,0.086
model.000.10.pdb,0.000,0.000,0.000,0.000,0.129,0.145,0.000,0.000,0.492,0.042,0.000,0.122,0.130,0.000,0.714,0.000,0.472,0.694,0.585,0.000
model.000.11.pdb,0.000,0.226,0.056,0.346,0.652,0.647,0.075,0.000,0.143,0.000,0.039,0.569,0.630,0.275,0.110,0.014,0.119,0.096,0.157,0.000
model.000.12.pdb,0.088,0.500,0.388,0.409,0.193,0.134,0.280,0.239,0.000,0.000,0.125,0.161,0.175,0.425,0.000,0.347,0.000,0.000,0.000,0.032
model.000.13.pdb,0.000,0.013,0.059,0.000,0.169,0.225,0.000,0.000,0.855,0.000,0.000,0.175,0.113,0.013,0.439,0.000,0.309,0.469,0.532,0.000
model.000.14.pdb,0.422,0.017,0.186,0.016,0.000,0.000,0.179,0.405,0.000,0.222,0.423,0.000,0.000,0.017,0.000,0.283,0.000,0.000,0.000,0.500
model.000.15.pdb,0.000,0.078,0.081,0.028,0.270,0.313,0.000,0.000,0.508,0.000,0.000,0.273,0.097,0.062,0.269,0.000,0.162,0.273,0.349,0.000
model.000.16.pdb,0.000,0.579,0.164,0.625,0.543,0.436,0.218,0.000,0.037,0.000,0.056,0.442,0.458,0.579,0.013,0.131,0.000,0.000,0.013,0.000
model.000.17.pdb,0.000,0.360,0.113,0.352,0.646,0.611,0.103,0.000,0.123,0.000,0.025,0.660,0.592,0.417,0.105,0.055,0.099,0.092,0.105,0.000
model.000.18.pdb,0.000,0.388,0.113,0.404,0.756,0.706,0.154,0.000,0.152,0.000,0.037,0.694,0.592,0.478,0.105,0.085,0.099,0.092,0.105,0.000
model.000.19.pdb,0.000,0.812,0.190,0.575,0.468,0.328,0.275,0.036,0.038,0.000,0.074,0.377,0.308,0.812,0.000,0.196,0.000,0.000,0.000,0.000
