 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.014,0.000,0.283,0.050,0.500,0.048,0.049,0.174,0.069,0.378,0.017,0.106,0.000,0.047,0.519,0.048,0.283,0.143,0.540,0.489
model.000.01.pdb,0.024,0.000,0.292,0.026,0.574,0.321,0.067,0.014,0.000,0.130,0.000,0.062,0.000,0.000,0.484,0.266,0.050,0.481,0.476,0.536
model.000.02.pdb,0.097,0.000,0.118,0.127,0.132,0.011,0.075,0.409,0.346,0.373,0.255,0.154,0.000,0.210,0.192,0.000,0.617,0.000,0.181,0.114
model.000.03.pdb,0.000,0.000,0.457,0.000,0.172,0.012,0.000,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.164,0.455,0.000,0.212,0.056,0.232
model.000.04.pdb,0.000,0.000,0.196,0.018,0.170,0.000,0.000,0.516,0.122,0.196,0.174,0.000,0.000,0.034,0.180,0.000,0.326,0.036,0.167,0.167
model.000.05.pdb,0.667,0.094,0.000,0.489,0.014,0.264,0.700,0.000,0.158,0.158,0.140,0.333,0.185,0.268,0.000,0.000,0.108,0.000,0.052,0.000
model.000.06.pdb,0.362,0.138,0.000,0.291,0.027,0.377,0.469,0.000,0.045,0.094,0.045,0.250,0.193,0.119,0.036,0.000,0.041,0.000,0.090,0.040
model.000.07.pdb,0.193,0.000,0.016,0.304,0.048,0.012,0.173,0.244,0.595,0.372,0.568,0.289,0.036,0.422,0.070,0.000,0.413,0.000,0.072,0.031
model.000.08.pdb,0.000,0.015,0.380,0.000,0.207,0.060,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.231,0.650,0.000,0.444,0.114,0.203
model.000.09.pdb,0.000,0.000,0.308,0.000,0.190,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.667,0.000,0.488,0.100,0.186
model.000.10.pdb,0.000,0.000,0.490,0.000,0.510,0.108,0.000,0.073,0.000,0.098,0.000,0.000,0.000,0.000,0.474,0.321,0.043,0.533,0.323,0.500
model.000.11.pdb,0.029,0.000,0.155,0.051,0.214,0.012,0.050,0.395,0.196,0.326,0.132,0.109,0.000,0.082,0.258,0.000,0.489,0.033,0.267,0.190
model.000.12.pdb,0.000,0.000,0.413,0.000,0.320,0.105,0.000,0.020,0.000,0.017,0.000,0.000,0.000,0.000,0.310,0.632,0.000,0.605,0.194,0.288
model.000.13.pdb,0.000,0.000,0.646,0.000,0.633,0.114,0.000,0.102,0.000,0.106,0.000,0.000,0.000,0.000,0.579,0.333,0.068,0.500,0.375,0.588
model.000.14.pdb,0.057,0.000,0.164,0.100,0.180,0.000,0.047,0.462,0.300,0.383,0.255,0.122,0.000,0.167,0.224,0.000,0.479,0.015,0.250,0.159
model.000.15.pdb,0.614,0.015,0.000,0.658,0.045,0.225,0.730,0.000,0.240,0.265,0.173,0.576,0.091,0.340,0.053,0.000,0.193,0.000,0.100,0.045
model.000.16.pdb,0.141,0.000,0.068,0.237,0.145,0.032,0.156,0.208,0.412,0.565,0.268,0.265,0.000,0.262,0.236,0.000,0.773,0.000,0.243,0.143
model.000.17.pdb,0.521,0.097,0.000,0.444,0.000,0.047,0.269,0.018,0.362,0.085,0.432,0.149,0.319,0.568,0.000,0.000,0.111,0.000,0.000,0.000
model.000.18.pdb,0.145,0.000,0.056,0.224,0.116,0.022,0.143,0.192,0.429,0.458,0.278,0.250,0.000,0.293,0.192,0.000,0.767,0.000,0.181,0.099
model.000.19.pdb,0.025,0.000,0.393,0.028,0.756,0.228,0.072,0.085,0.000,0.161,0.000,0.069,0.000,0.000,0.561,0.230,0.114,0.423,0.582,0.633
