 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.032,0.667,0.268,0.413,0.365,0.295,0.196,0.091,0.037,0.000,0.056,0.339,0.273,0.622,0.000,0.211,0.000,0.000,0.000,0.000
model.000.01.pdb,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.302,0.041,0.000,0.014,0.000,0.345,0.000,0.358,0.328,0.258,0.095
model.000.02.pdb,0.169,0.203,0.547,0.118,0.139,0.111,0.040,0.224,0.146,0.000,0.024,0.117,0.052,0.164,0.012,0.096,0.000,0.024,0.024,0.083
model.000.03.pdb,0.000,0.605,0.125,0.610,0.500,0.404,0.236,0.034,0.050,0.000,0.086,0.462,0.479,0.694,0.041,0.186,0.029,0.027,0.041,0.000
model.000.04.pdb,0.000,0.000,0.000,0.000,0.029,0.039,0.000,0.000,0.151,0.259,0.013,0.013,0.076,0.000,0.426,0.000,0.543,0.357,0.375,0.030
model.000.05.pdb,0.000,0.356,0.059,0.571,0.200,0.176,0.545,0.034,0.000,0.062,0.267,0.169,0.268,0.386,0.000,0.321,0.000,0.000,0.000,0.000
model.000.06.pdb,0.000,0.378,0.090,0.595,0.197,0.174,0.605,0.051,0.000,0.045,0.305,0.185,0.263,0.409,0.000,0.420,0.000,0.000,0.000,0.000
model.000.07.pdb,0.286,0.000,0.040,0.000,0.000,0.000,0.000,0.098,0.034,0.175,0.038,0.000,0.000,0.000,0.122,0.013,0.100,0.139,0.064,0.370
model.000.08.pdb,0.014,0.404,0.132,0.543,0.242,0.197,0.587,0.065,0.000,0.058,0.306,0.227,0.288,0.435,0.000,0.415,0.000,0.000,0.000,0.000
model.000.09.pdb,0.000,0.000,0.000,0.000,0.050,0.070,0.000,0.000,0.371,0.111,0.000,0.048,0.092,0.000,0.745,0.000,0.596,0.600,0.618,0.000
model.000.10.pdb,0.246,0.082,0.242,0.092,0.000,0.000,0.404,0.375,0.000,0.177,0.620,0.000,0.013,0.065,0.000,0.596,0.000,0.000,0.000,0.281
model.000.11.pdb,0.114,0.327,0.292,0.300,0.135,0.095,0.538,0.217,0.000,0.127,0.419,0.128,0.137,0.281,0.000,0.608,0.000,0.000,0.000,0.111
model.000.12.pdb,0.094,0.383,0.152,0.346,0.152,0.105,0.565,0.182,0.000,0.091,0.356,0.143,0.154,0.354,0.000,0.609,0.000,0.000,0.000,0.075
model.000.13.pdb,0.000,0.694,0.161,0.571,0.500,0.379,0.283,0.034,0.063,0.000,0.086,0.434,0.392,0.743,0.027,0.207,0.014,0.013,0.027,0.000
model.000.14.pdb,0.032,0.639,0.346,0.362,0.373,0.258,0.179,0.135,0.038,0.000,0.028,0.298,0.232,0.513,0.000,0.193,0.000,0.000,0.000,0.000
model.000.15.pdb,0.101,0.014,0.108,0.000,0.038,0.071,0.000,0.044,0.382,0.000,0.000,0.049,0.000,0.000,0.176,0.000,0.052,0.211,0.208,0.068
model.000.16.pdb,0.000,0.000,0.000,0.000,0.113,0.160,0.000,0.000,0.379,0.119,0.000,0.122,0.130,0.000,0.585,0.000,0.592,0.537,0.714,0.000
model.000.17.pdb,0.000,0.000,0.000,0.000,0.139,0.200,0.000,0.000,0.403,0.068,0.000,0.147,0.141,0.000,0.554,0.000,0.620,0.564,0.706,0.000
model.000.18.pdb,0.269,0.000,0.075,0.015,0.000,0.000,0.259,0.220,0.000,0.308,0.551,0.000,0.014,0.000,0.000,0.296,0.000,0.000,0.000,0.388
model.000.19.pdb,0.000,0.439,0.167,0.333,0.667,0.529,0.065,0.000,0.139,0.000,0.000,0.574,0.500,0.405,0.103,0.030,0.095,0.088,0.103,0.000
