 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.014,0.024,0.097,0.000,0.000,0.667,0.362,0.193,0.000,0.000,0.000,0.029,0.000,0.000,0.057,0.614,0.141,0.521,0.145,0.025
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.094,0.138,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.097,0.000,0.000
model.000.02.pdb,0.283,0.292,0.118,0.457,0.196,0.000,0.000,0.016,0.380,0.308,0.490,0.155,0.413,0.646,0.164,0.000,0.068,0.000,0.056,0.393
model.000.03.pdb,0.050,0.026,0.127,0.000,0.018,0.489,0.291,0.304,0.000,0.000,0.000,0.051,0.000,0.000,0.100,0.658,0.237,0.444,0.224,0.028
model.000.04.pdb,0.500,0.574,0.132,0.172,0.170,0.014,0.027,0.048,0.207,0.190,0.510,0.214,0.320,0.633,0.180,0.045,0.145,0.000,0.116,0.756
model.000.05.pdb,0.048,0.321,0.011,0.012,0.000,0.264,0.377,0.012,0.060,0.115,0.108,0.012,0.105,0.114,0.000,0.225,0.032,0.047,0.022,0.228
model.000.06.pdb,0.049,0.067,0.075,0.000,0.000,0.700,0.469,0.173,0.000,0.000,0.000,0.050,0.000,0.000,0.047,0.730,0.156,0.269,0.143,0.072
model.000.07.pdb,0.174,0.014,0.409,0.104,0.516,0.000,0.000,0.244,0.019,0.000,0.073,0.395,0.020,0.102,0.462,0.000,0.208,0.018,0.192,0.085
model.000.08.pdb,0.069,0.000,0.346,0.000,0.122,0.158,0.045,0.595,0.000,0.000,0.000,0.196,0.000,0.000,0.300,0.240,0.412,0.362,0.429,0.000
model.000.09.pdb,0.378,0.130,0.373,0.000,0.196,0.158,0.094,0.372,0.000,0.000,0.098,0.326,0.017,0.106,0.383,0.265,0.565,0.085,0.458,0.161
model.000.10.pdb,0.017,0.000,0.255,0.000,0.174,0.140,0.045,0.568,0.000,0.000,0.000,0.132,0.000,0.000,0.255,0.173,0.268,0.432,0.278,0.000
model.000.11.pdb,0.106,0.062,0.154,0.000,0.000,0.333,0.250,0.289,0.000,0.000,0.000,0.109,0.000,0.000,0.122,0.576,0.265,0.149,0.250,0.069
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.185,0.193,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.319,0.000,0.000
model.000.13.pdb,0.047,0.000,0.210,0.000,0.034,0.268,0.119,0.422,0.000,0.000,0.000,0.082,0.000,0.000,0.167,0.340,0.262,0.568,0.293,0.000
model.000.14.pdb,0.519,0.484,0.192,0.164,0.180,0.000,0.036,0.070,0.231,0.234,0.474,0.258,0.310,0.579,0.224,0.053,0.236,0.000,0.192,0.561
model.000.15.pdb,0.048,0.266,0.000,0.455,0.000,0.000,0.000,0.000,0.650,0.667,0.321,0.000,0.632,0.333,0.000,0.000,0.000,0.000,0.000,0.230
model.000.16.pdb,0.283,0.050,0.617,0.000,0.326,0.108,0.041,0.413,0.000,0.000,0.043,0.489,0.000,0.068,0.479,0.193,0.773,0.111,0.767,0.114
model.000.17.pdb,0.143,0.481,0.000,0.212,0.036,0.000,0.000,0.000,0.444,0.488,0.533,0.033,0.605,0.500,0.015,0.000,0.000,0.000,0.000,0.423
model.000.18.pdb,0.540,0.476,0.181,0.056,0.167,0.052,0.090,0.072,0.114,0.100,0.323,0.267,0.194,0.375,0.250,0.100,0.243,0.000,0.181,0.582
model.000.19.pdb,0.489,0.536,0.114,0.232,0.167,0.000,0.040,0.031,0.203,0.186,0.500,0.190,0.288,0.588,0.159,0.045,0.143,0.000,0.099,0.633
