 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.861,0.000,0.183,0.162,0.000,0.194,0.062,0.234,0.395,0.161,0.190,0.110,0.000,0.116,0.066
model.000.01.pdb,0.197,0.449,0.047,0.090,0.218,0.089,0.011,0.809,0.467,0.054,0.761,0.032,0.167,0.660,0.024
model.000.02.pdb,0.191,0.013,0.782,0.011,0.014,0.044,0.471,0.081,0.104,0.720,0.072,0.667,0.000,0.034,0.508
model.000.03.pdb,0.179,0.013,0.032,0.857,0.000,0.614,0.101,0.138,0.108,0.000,0.115,0.030,0.015,0.171,0.107
model.000.04.pdb,0.072,0.756,0.022,0.049,0.417,0.061,0.011,0.509,0.241,0.039,0.519,0.043,0.422,0.556,0.011
model.000.05.pdb,0.119,0.488,0.092,0.026,0.250,0.026,0.012,0.660,0.341,0.092,0.644,0.034,0.167,0.520,0.026
model.000.06.pdb,0.179,0.027,0.011,0.717,0.014,0.643,0.077,0.167,0.125,0.000,0.145,0.010,0.062,0.187,0.069
model.000.07.pdb,0.000,0.000,0.136,0.207,0.000,0.127,0.167,0.000,0.000,0.086,0.000,0.093,0.021,0.000,0.161
model.000.08.pdb,0.061,0.000,0.048,0.464,0.000,0.407,0.127,0.012,0.000,0.027,0.000,0.033,0.034,0.067,0.091
model.000.09.pdb,0.000,0.487,0.000,0.043,0.500,0.028,0.000,0.143,0.019,0.000,0.133,0.063,0.923,0.167,0.000
model.000.10.pdb,0.000,0.000,0.424,0.068,0.000,0.039,0.509,0.000,0.000,0.309,0.000,0.379,0.000,0.000,0.500
model.000.11.pdb,0.072,0.012,0.514,0.086,0.000,0.109,0.895,0.010,0.000,0.403,0.010,0.449,0.000,0.010,0.776
model.000.12.pdb,0.237,0.060,0.000,0.700,0.015,0.654,0.022,0.214,0.158,0.000,0.191,0.000,0.068,0.239,0.024
model.000.13.pdb,0.182,0.434,0.044,0.154,0.220,0.138,0.010,0.837,0.420,0.051,0.792,0.041,0.172,0.725,0.022
model.000.14.pdb,0.000,0.436,0.071,0.014,0.486,0.000,0.000,0.321,0.159,0.068,0.320,0.093,0.297,0.333,0.014
