 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.094,0.154,0.078,0.348,0.067,0.524,0.000,0.443,0.048,0.145,0.038,0.000,0.044,0.603,0.121
model.000.01.pdb,0.630,0.148,0.643,0.073,0.820,0.110,0.235,0.079,0.673,0.175,0.222,0.192,0.800,0.021,0.000
model.000.02.pdb,0.024,0.100,0.060,0.292,0.048,0.475,0.000,0.373,0.013,0.129,0.014,0.000,0.036,0.586,0.121
model.000.03.pdb,0.314,0.690,0.127,0.047,0.167,0.061,0.016,0.042,0.245,0.606,0.000,0.000,0.169,0.154,0.000
model.000.04.pdb,0.033,0.013,0.065,0.484,0.043,0.531,0.022,0.609,0.023,0.025,0.091,0.068,0.021,0.471,0.152
model.000.05.pdb,0.388,0.220,0.440,0.133,0.392,0.183,0.000,0.134,0.348,0.256,0.096,0.000,0.400,0.118,0.000
model.000.06.pdb,0.600,0.107,0.680,0.067,0.729,0.092,0.226,0.086,0.644,0.158,0.190,0.179,0.783,0.011,0.000
model.000.07.pdb,0.638,0.341,0.500,0.069,0.569,0.111,0.074,0.104,0.543,0.370,0.082,0.056,0.549,0.090,0.000
model.000.08.pdb,0.620,0.105,0.635,0.052,0.750,0.091,0.242,0.099,0.705,0.136,0.167,0.194,0.766,0.023,0.000
model.000.09.pdb,0.056,0.100,0.088,0.397,0.077,0.581,0.034,0.493,0.023,0.110,0.012,0.033,0.043,0.661,0.101
model.000.10.pdb,0.577,0.123,0.792,0.065,0.735,0.104,0.200,0.084,0.617,0.172,0.246,0.157,0.787,0.034,0.000
model.000.11.pdb,0.065,0.208,0.036,0.171,0.024,0.349,0.000,0.250,0.027,0.214,0.000,0.000,0.024,0.475,0.167
model.000.12.pdb,0.034,0.014,0.056,0.406,0.045,0.525,0.036,0.581,0.024,0.013,0.026,0.072,0.022,0.485,0.145
model.000.13.pdb,0.585,0.065,0.660,0.091,0.740,0.130,0.212,0.122,0.592,0.094,0.217,0.186,0.686,0.045,0.000
model.000.14.pdb,0.022,0.000,0.066,0.525,0.032,0.500,0.023,0.578,0.024,0.000,0.139,0.034,0.033,0.384,0.156
