 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.036,0.105,0.411,0.000,0.143,0.000,0.458,0.043,0.000,0.444,0.056,0.642,0.118,0.055,0.449
model.000.01.pdb,0.191,0.436,0.054,0.148,0.210,0.133,0.031,0.722,0.423,0.049,0.712,0.050,0.203,0.750,0.033
model.000.02.pdb,0.000,0.042,0.324,0.011,0.127,0.011,0.391,0.023,0.000,0.344,0.049,0.554,0.063,0.036,0.358
model.000.03.pdb,0.000,0.450,0.013,0.000,0.636,0.000,0.039,0.125,0.039,0.048,0.115,0.135,0.562,0.148,0.028
model.000.04.pdb,0.114,0.024,0.667,0.075,0.025,0.110,0.621,0.031,0.000,0.476,0.043,0.577,0.000,0.032,0.672
model.000.05.pdb,0.089,0.405,0.068,0.000,0.341,0.000,0.013,0.404,0.286,0.065,0.438,0.076,0.159,0.365,0.027
model.000.06.pdb,0.177,0.392,0.047,0.133,0.155,0.132,0.022,0.735,0.375,0.040,0.761,0.032,0.145,0.729,0.024
model.000.07.pdb,0.077,0.659,0.036,0.025,0.422,0.037,0.011,0.491,0.260,0.056,0.472,0.080,0.333,0.538,0.024
model.000.08.pdb,0.138,0.440,0.034,0.147,0.172,0.145,0.022,0.720,0.367,0.053,0.745,0.032,0.185,0.826,0.023
model.000.09.pdb,0.023,0.062,0.419,0.042,0.155,0.041,0.408,0.064,0.038,0.453,0.067,0.672,0.054,0.054,0.397
model.000.10.pdb,0.210,0.431,0.045,0.115,0.211,0.100,0.011,0.740,0.478,0.039,0.804,0.031,0.161,0.735,0.011
model.000.11.pdb,0.000,0.090,0.243,0.012,0.190,0.011,0.324,0.012,0.000,0.250,0.012,0.500,0.121,0.024,0.290
model.000.12.pdb,0.051,0.013,0.613,0.080,0.013,0.079,0.619,0.033,0.000,0.467,0.034,0.507,0.000,0.033,0.644
model.000.13.pdb,0.203,0.364,0.068,0.141,0.145,0.139,0.032,0.780,0.458,0.079,0.667,0.052,0.117,0.673,0.046
model.000.14.pdb,0.147,0.012,0.746,0.054,0.000,0.076,0.591,0.043,0.039,0.569,0.033,0.571,0.000,0.021,0.613
