 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.208,0.186,0.069,0.061,0.238,0.056,0.030,0.113,0.034,0.725,0.190,0.083,0.022,0.183
model.000.01.pdb,0.569,0.086,0.091,0.362,0.257,0.026,0.056,0.129,0.029,0.550,0.023,0.027,0.015,0.574,0.049
model.000.02.pdb,0.060,0.623,0.608,0.022,0.000,0.674,0.510,0.236,0.214,0.046,0.192,0.480,0.333,0.080,0.766
model.000.03.pdb,0.062,0.038,0.000,0.189,0.206,0.014,0.000,0.000,0.000,0.061,0.186,0.061,0.000,0.059,0.000
model.000.04.pdb,0.067,0.755,0.712,0.053,0.000,0.585,0.350,0.103,0.071,0.065,0.146,0.620,0.109,0.098,0.500
model.000.05.pdb,0.423,0.032,0.044,0.677,0.485,0.023,0.036,0.067,0.013,0.431,0.100,0.024,0.000,0.377,0.022
model.000.06.pdb,0.058,0.725,0.680,0.044,0.000,0.646,0.357,0.094,0.094,0.057,0.141,0.520,0.138,0.103,0.518
model.000.07.pdb,0.500,0.138,0.159,0.522,0.338,0.047,0.145,0.125,0.025,0.552,0.010,0.048,0.027,0.646,0.103
model.000.08.pdb,0.067,0.643,0.630,0.054,0.000,0.596,0.455,0.175,0.175,0.054,0.148,0.429,0.228,0.111,0.618
model.000.09.pdb,0.408,0.054,0.057,0.717,0.516,0.011,0.024,0.068,0.013,0.417,0.089,0.012,0.000,0.419,0.022
model.000.10.pdb,0.048,0.091,0.067,0.059,0.151,0.136,0.125,0.119,0.375,0.072,0.328,0.075,0.240,0.045,0.141
model.000.11.pdb,0.375,0.115,0.084,0.638,0.408,0.010,0.056,0.047,0.011,0.383,0.038,0.067,0.000,0.474,0.051
model.000.12.pdb,0.000,0.225,0.186,0.069,0.048,0.258,0.056,0.030,0.113,0.022,0.725,0.210,0.102,0.022,0.183
model.000.13.pdb,0.356,0.067,0.070,0.645,0.412,0.024,0.050,0.013,0.013,0.347,0.066,0.024,0.000,0.444,0.057
model.000.14.pdb,0.000,0.185,0.159,0.078,0.055,0.193,0.000,0.000,0.017,0.025,0.660,0.182,0.000,0.012,0.121
