 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.372,0.113,0.364,0.000,0.264,0.000,0.011,0.186,0.050,0.027,0.085,0.204,0.000,0.000
model.000.01.pdb,0.372,1.000,0.031,0.155,0.043,0.088,0.012,0.086,0.085,0.282,0.206,0.037,0.269,0.099,0.036
model.000.02.pdb,0.113,0.031,1.000,0.155,0.011,0.254,0.024,0.041,0.510,0.011,0.012,0.312,0.048,0.035,0.000
model.000.03.pdb,0.364,0.155,0.155,1.000,0.032,0.705,0.049,0.062,0.130,0.034,0.137,0.037,0.426,0.098,0.000
model.000.04.pdb,0.000,0.043,0.011,0.032,1.000,0.030,0.691,0.578,0.029,0.476,0.302,0.188,0.032,0.451,0.208
model.000.05.pdb,0.264,0.088,0.254,0.705,0.030,1.000,0.069,0.079,0.197,0.031,0.169,0.070,0.370,0.128,0.000
model.000.06.pdb,0.000,0.012,0.024,0.049,0.691,0.069,1.000,0.644,0.043,0.429,0.365,0.084,0.037,0.543,0.169
model.000.07.pdb,0.011,0.086,0.041,0.062,0.578,0.079,0.644,1.000,0.077,0.500,0.463,0.102,0.086,0.653,0.150
model.000.08.pdb,0.186,0.085,0.510,0.130,0.029,0.197,0.043,0.077,1.000,0.030,0.000,0.462,0.027,0.064,0.000
model.000.09.pdb,0.050,0.282,0.011,0.034,0.476,0.031,0.429,0.500,0.030,1.000,0.529,0.058,0.167,0.500,0.139
model.000.10.pdb,0.027,0.206,0.012,0.137,0.302,0.169,0.365,0.463,0.000,0.529,1.000,0.010,0.281,0.567,0.058
model.000.11.pdb,0.085,0.037,0.312,0.037,0.188,0.070,0.084,0.102,0.462,0.058,0.010,1.000,0.000,0.081,0.056
model.000.12.pdb,0.204,0.269,0.048,0.426,0.032,0.370,0.037,0.086,0.027,0.167,0.281,0.000,1.000,0.156,0.000
model.000.13.pdb,0.000,0.099,0.035,0.098,0.451,0.128,0.543,0.653,0.064,0.500,0.567,0.081,0.156,1.000,0.096
model.000.14.pdb,0.000,0.036,0.000,0.000,0.208,0.000,0.169,0.150,0.000,0.139,0.058,0.056,0.000,0.096,1.000
