Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.2475,0.055,0.24375,0.2725,0.305,0.21
G3,0.2475,0.0,0.2025,0.2275,0.20625,0.09875,0.3
A4,0.055,0.2025,0.0,0.21375,0.12875,0.0825,0.22
B10,0.24375,0.2275,0.21375,0.0,0.15875,0.08875,0.05125
C6,0.2725,0.20625,0.12875,0.15875,0.0,0.14375,0.085
D3,0.305,0.09875,0.0825,0.08875,0.14375,0.0,0.14
B3,0.21,0.3,0.22,0.05125,0.085,0.14,0.0
