Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.02625,0.0275,0.065,0.10625,0.00875,0.125
G3,0.02625,0.0,0.02625,0.0425,0.07625,0.0175,0.065
A4,0.0275,0.02625,0.0,0.03375,0.04875,0.02,0.095
B10,0.065,0.0425,0.03375,0.0,0.0375,0.00625,0.01
C6,0.10625,0.07625,0.04875,0.0375,0.0,0.06625,0.02125
D3,0.00875,0.0175,0.02,0.00625,0.06625,0.0,0.0125
B3,0.125,0.065,0.095,0.01,0.02125,0.0125,0.0
