Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.08875,0.0425,0.18625,0.16625,0.1325,0.16375
G3,0.08875,0.0,0.10125,0.1,0.14375,0.05875,0.1875
A4,0.0425,0.10125,0.0,0.14125,0.09125,0.04875,0.18
B10,0.18625,0.1,0.14125,0.0,0.0825,0.05125,0.025
C6,0.16625,0.14375,0.09125,0.0825,0.0,0.095,0.04125
D3,0.1325,0.05875,0.04875,0.05125,0.095,0.0,0.0675
B3,0.16375,0.1875,0.18,0.025,0.04125,0.0675,0.0
