Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.02375,0.02,0.035,0.0975,0.0075,0.09625
G3,0.02375,0.0,0.02,0.02625,0.03125,0.0125,0.0225
A4,0.02,0.02,0.0,0.015,0.035,0.01375,0.04625
B10,0.035,0.02625,0.015,0.0,0.03,0.00375,0.00875
C6,0.0975,0.03125,0.035,0.03,0.0,0.03875,0.01625
D3,0.0075,0.0125,0.01375,0.00375,0.03875,0.0,0.00875
B3,0.09625,0.0225,0.04625,0.00875,0.01625,0.00875,0.0
