Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.03625,0.02875,0.14,0.115,0.04125,0.145
G3,0.03625,0.0,0.0375,0.05125,0.10125,0.0325,0.10625
A4,0.02875,0.0375,0.0,0.09,0.07,0.02875,0.1525
B10,0.14,0.05125,0.09,0.0,0.0425,0.0175,0.0125
C6,0.115,0.10125,0.07,0.0425,0.0,0.0725,0.0275
D3,0.04125,0.0325,0.02875,0.0175,0.0725,0.0,0.0275
B3,0.145,0.10625,0.1525,0.0125,0.0275,0.0275,0.0
