Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.6,0.8,0.47,0.37,0.73,0.77,0.6,0.63,0.43,0.6,0.4
CC71,0.6,0.0,0.3,0.67,0.7,0.6,0.7,0.63,0.67,0.7,0.57,0.63
AB122,0.8,0.3,0.0,0.63,0.7,0.43,0.7,0.63,0.57,0.6,0.53,0.63
JE10,0.47,0.67,0.63,0.0,0.33,0.53,0.63,0.47,0.33,0.39,0.33,0.27
EB21,0.37,0.7,0.7,0.33,0.0,0.53,0.6,0.37,0.4,0.47,0.33,0.27
BH72,0.73,0.6,0.43,0.53,0.53,0.0,0.57,0.53,0.23,0.47,0.33,0.53
BG91,0.77,0.7,0.7,0.63,0.6,0.57,0.0,0.63,0.57,0.67,0.47,0.47
JF11,0.6,0.63,0.63,0.47,0.37,0.53,0.63,0.0,0.43,0.5,0.4,0.4
JA112,0.63,0.67,0.57,0.33,0.4,0.23,0.57,0.43,0.0,0.36,0.2,0.4
EE11,0.43,0.7,0.6,0.39,0.47,0.47,0.67,0.5,0.36,0.0,0.36,0.36
FH41,0.6,0.57,0.53,0.33,0.33,0.33,0.47,0.4,0.2,0.36,0.0,0.1
LA5,0.4,0.63,0.63,0.27,0.27,0.53,0.47,0.4,0.4,0.36,0.1,0.0
