Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.37,0.43,0.23,0.23,0.3,0.5,0.3,0.3,0.3,0.37,0.2
CC71,0.37,0.0,0.17,0.33,0.37,0.27,0.23,0.27,0.3,0.33,0.2,0.27
AB122,0.43,0.17,0.0,0.3,0.33,0.13,0.17,0.23,0.17,0.3,0.2,0.17
JE10,0.23,0.33,0.3,0.0,0.07,0.2,0.27,0.1,0.1,0.04,0.13,0.07
EB21,0.23,0.37,0.33,0.07,0.0,0.23,0.13,0.1,0.0,0.2,0.03,0.03
BH72,0.3,0.27,0.13,0.2,0.23,0.0,0.13,0.1,0.07,0.27,0.13,0.13
BG91,0.5,0.23,0.13,0.27,0.13,0.13,0.0,0.13,0.13,0.3,0.17,0.2
JF11,0.3,0.27,0.23,0.1,0.1,0.1,0.13,0.0,0.1,0.18,0.13,0.13
JA112,0.3,0.3,0.17,0.1,0.0,0.07,0.13,0.1,0.0,0.11,0.03,0.03
EE11,0.3,0.33,0.3,0.04,0.2,0.27,0.3,0.18,0.11,0.0,0.18,0.11
FH41,0.37,0.2,0.2,0.13,0.03,0.13,0.17,0.13,0.03,0.18,0.0,0.0
LA5,0.2,0.27,0.17,0.07,0.03,0.13,0.2,0.13,0.03,0.11,0.0,0.0
