Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.53,0.77,0.43,0.37,0.67,0.77,0.5,0.57,0.43,0.57,0.4
CC71,0.53,0.0,0.27,0.63,0.67,0.53,0.67,0.5,0.6,0.57,0.53,0.53
AB122,0.77,0.27,0.0,0.6,0.6,0.4,0.6,0.47,0.53,0.6,0.43,0.6
JE10,0.43,0.63,0.6,0.0,0.27,0.47,0.53,0.37,0.33,0.36,0.33,0.23
EB21,0.37,0.67,0.6,0.27,0.0,0.43,0.47,0.37,0.3,0.43,0.3,0.27
BH72,0.67,0.53,0.4,0.47,0.43,0.0,0.47,0.37,0.23,0.43,0.27,0.3
BG91,0.77,0.67,0.6,0.53,0.47,0.47,0.0,0.47,0.4,0.5,0.33,0.43
JF11,0.5,0.5,0.47,0.37,0.37,0.37,0.47,0.0,0.33,0.46,0.27,0.27
JA112,0.57,0.6,0.53,0.33,0.3,0.23,0.4,0.33,0.0,0.21,0.2,0.33
EE11,0.43,0.57,0.6,0.36,0.43,0.43,0.5,0.46,0.21,0.0,0.3,0.29
FH41,0.57,0.53,0.43,0.33,0.3,0.27,0.33,0.27,0.2,0.3,0.0,0.1
LA5,0.4,0.53,0.6,0.23,0.27,0.3,0.43,0.27,0.33,0.29,0.1,0.0
