Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.73,0.93,0.53,0.47,0.87,0.8,0.7,0.77,0.64,0.67,0.6
CC71,0.73,0.0,0.33,0.8,0.83,0.7,0.83,0.8,0.7,0.8,0.8,0.73
AB122,0.93,0.33,0.0,0.7,0.83,0.77,0.9,0.73,0.67,0.8,0.7,0.73
JE10,0.53,0.8,0.7,0.0,0.4,0.63,0.7,0.53,0.43,0.57,0.33,0.37
EB21,0.47,0.83,0.83,0.4,0.0,0.67,0.77,0.5,0.53,0.53,0.4,0.37
BH72,0.87,0.7,0.77,0.63,0.67,0.0,0.67,0.67,0.33,0.57,0.63,0.7
BG91,0.8,0.83,0.9,0.7,0.77,0.67,0.0,0.87,0.7,0.83,0.7,0.7
JF11,0.7,0.8,0.73,0.53,0.5,0.67,0.87,0.0,0.57,0.57,0.53,0.53
JA112,0.77,0.7,0.67,0.43,0.53,0.33,0.7,0.57,0.0,0.5,0.4,0.57
EE11,0.64,0.8,0.8,0.57,0.53,0.57,0.83,0.57,0.5,0.0,0.61,0.57
FH41,0.67,0.8,0.7,0.33,0.4,0.63,0.7,0.53,0.4,0.61,0.0,0.2
LA5,0.6,0.73,0.73,0.37,0.37,0.7,0.7,0.53,0.57,0.57,0.2,0.0
