Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.83,0.97,0.57,0.6,0.9,0.83,0.8,0.8,0.71,0.73,0.7
CC71,0.83,0.0,0.37,0.83,0.9,0.73,0.83,0.8,0.8,0.87,0.9,0.8
AB122,0.97,0.37,0.0,0.7,0.93,0.77,0.93,0.8,0.7,0.9,0.73,0.8
JE10,0.57,0.83,0.7,0.0,0.5,0.7,0.73,0.63,0.53,0.64,0.37,0.47
EB21,0.6,0.9,0.93,0.5,0.0,0.73,0.87,0.57,0.6,0.57,0.5,0.43
BH72,0.9,0.73,0.77,0.7,0.73,0.0,0.7,0.67,0.33,0.63,0.67,0.73
BG91,0.83,0.83,0.93,0.73,0.87,0.7,0.0,0.9,0.77,0.9,0.83,0.8
JF11,0.8,0.8,0.8,0.63,0.57,0.67,0.9,0.0,0.6,0.68,0.63,0.7
JA112,0.8,0.8,0.7,0.53,0.6,0.33,0.77,0.6,0.0,0.61,0.5,0.63
EE11,0.71,0.87,0.9,0.64,0.57,0.63,0.9,0.68,0.61,0.0,0.64,0.68
FH41,0.73,0.9,0.73,0.37,0.5,0.67,0.83,0.63,0.5,0.64,0.0,0.23
LA5,0.7,0.8,0.8,0.47,0.43,0.73,0.8,0.7,0.63,0.68,0.23,0.0
