Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.43,0.6,0.3,0.27,0.4,0.73,0.4,0.4,0.3,0.4,0.2
CC71,0.43,0.0,0.17,0.5,0.47,0.4,0.5,0.4,0.33,0.4,0.4,0.4
AB122,0.6,0.17,0.0,0.5,0.43,0.2,0.27,0.37,0.27,0.43,0.23,0.3
JE10,0.3,0.5,0.5,0.0,0.13,0.27,0.37,0.2,0.2,0.14,0.23,0.13
EB21,0.27,0.47,0.43,0.13,0.0,0.3,0.23,0.13,0.1,0.27,0.1,0.1
BH72,0.4,0.4,0.2,0.27,0.3,0.0,0.33,0.13,0.07,0.3,0.13,0.17
BG91,0.73,0.5,0.27,0.37,0.23,0.33,0.0,0.23,0.23,0.37,0.2,0.33
JF11,0.4,0.4,0.37,0.2,0.13,0.13,0.23,0.0,0.2,0.36,0.17,0.17
JA112,0.4,0.33,0.27,0.2,0.1,0.07,0.23,0.2,0.0,0.14,0.1,0.13
EE11,0.3,0.4,0.43,0.14,0.27,0.3,0.37,0.36,0.14,0.0,0.18,0.11
FH41,0.4,0.4,0.23,0.23,0.1,0.13,0.2,0.17,0.1,0.18,0.0,0.03
LA5,0.2,0.4,0.3,0.13,0.1,0.17,0.33,0.17,0.13,0.11,0.03,0.0
