Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.47,0.67,0.33,0.33,0.47,0.73,0.4,0.43,0.32,0.43,0.2
CC71,0.47,0.0,0.2,0.53,0.47,0.43,0.6,0.47,0.4,0.53,0.43,0.4
AB122,0.67,0.2,0.0,0.53,0.5,0.23,0.37,0.43,0.27,0.47,0.33,0.4
JE10,0.33,0.53,0.53,0.0,0.17,0.3,0.4,0.27,0.27,0.21,0.3,0.13
EB21,0.33,0.47,0.5,0.17,0.0,0.37,0.23,0.27,0.17,0.3,0.17,0.13
BH72,0.47,0.43,0.23,0.3,0.37,0.0,0.37,0.23,0.1,0.3,0.13,0.17
BG91,0.73,0.6,0.37,0.4,0.23,0.37,0.0,0.23,0.27,0.47,0.23,0.33
JF11,0.4,0.47,0.43,0.27,0.27,0.23,0.23,0.0,0.23,0.39,0.23,0.23
JA112,0.43,0.4,0.27,0.27,0.17,0.1,0.27,0.23,0.0,0.14,0.13,0.13
EE11,0.32,0.53,0.47,0.21,0.3,0.3,0.47,0.39,0.14,0.0,0.21,0.18
FH41,0.43,0.43,0.33,0.3,0.17,0.13,0.23,0.23,0.13,0.21,0.0,0.07
LA5,0.2,0.4,0.4,0.13,0.13,0.17,0.33,0.23,0.13,0.18,0.07,0.0
