Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.7,0.9,0.53,0.47,0.8,0.77,0.6,0.7,0.5,0.63,0.5
CC71,0.7,0.0,0.33,0.77,0.73,0.63,0.83,0.77,0.67,0.8,0.73,0.67
AB122,0.9,0.33,0.0,0.63,0.8,0.57,0.8,0.7,0.6,0.7,0.63,0.67
JE10,0.53,0.77,0.63,0.0,0.37,0.53,0.7,0.5,0.33,0.39,0.33,0.27
EB21,0.47,0.73,0.8,0.37,0.0,0.57,0.67,0.43,0.47,0.5,0.37,0.33
BH72,0.8,0.63,0.57,0.53,0.57,0.0,0.6,0.57,0.3,0.5,0.47,0.6
BG91,0.77,0.83,0.8,0.7,0.67,0.6,0.0,0.8,0.63,0.73,0.53,0.53
JF11,0.6,0.77,0.7,0.5,0.43,0.57,0.8,0.0,0.5,0.54,0.43,0.5
JA112,0.7,0.67,0.6,0.33,0.47,0.3,0.63,0.5,0.0,0.39,0.33,0.4
EE11,0.5,0.8,0.7,0.39,0.5,0.5,0.73,0.54,0.39,0.0,0.46,0.46
FH41,0.63,0.73,0.63,0.33,0.37,0.47,0.53,0.43,0.33,0.46,0.0,0.2
LA5,0.5,0.67,0.67,0.27,0.33,0.6,0.53,0.5,0.4,0.46,0.2,0.0
