Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.7,0.9,0.53,0.47,0.87,0.77,0.6,0.7,0.61,0.67,0.6
CC71,0.7,0.0,0.33,0.77,0.73,0.7,0.83,0.77,0.67,0.8,0.8,0.7
AB122,0.9,0.33,0.0,0.7,0.8,0.63,0.87,0.7,0.67,0.73,0.63,0.67
JE10,0.53,0.77,0.7,0.0,0.37,0.57,0.7,0.53,0.37,0.46,0.33,0.27
EB21,0.47,0.73,0.8,0.37,0.0,0.57,0.7,0.47,0.47,0.53,0.37,0.37
BH72,0.87,0.7,0.63,0.57,0.57,0.0,0.63,0.6,0.33,0.5,0.53,0.67
BG91,0.77,0.83,0.87,0.7,0.7,0.63,0.0,0.83,0.67,0.8,0.6,0.67
JF11,0.6,0.77,0.7,0.53,0.47,0.6,0.83,0.0,0.57,0.57,0.5,0.5
JA112,0.7,0.67,0.67,0.37,0.47,0.33,0.67,0.57,0.0,0.43,0.4,0.5
EE11,0.61,0.8,0.73,0.46,0.53,0.5,0.8,0.57,0.43,0.0,0.57,0.5
FH41,0.67,0.8,0.63,0.33,0.37,0.53,0.6,0.5,0.4,0.57,0.0,0.2
LA5,0.6,0.7,0.67,0.27,0.37,0.67,0.67,0.5,0.5,0.5,0.2,0.0
