Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.97,1.0,0.63,0.77,0.9,0.9,0.8,0.83,0.82,0.77,0.8
CC71,0.97,0.0,0.47,0.83,0.93,0.77,0.87,0.83,0.8,0.9,0.9,0.83
AB122,1.0,0.47,0.0,0.8,0.93,0.77,0.93,0.93,0.83,0.97,0.77,0.87
JE10,0.63,0.83,0.8,0.0,0.6,0.77,0.77,0.7,0.6,0.79,0.43,0.57
EB21,0.77,0.93,0.93,0.6,0.0,0.8,0.87,0.57,0.6,0.7,0.63,0.6
BH72,0.9,0.77,0.77,0.77,0.8,0.0,0.9,0.7,0.43,0.8,0.8,0.8
BG91,0.9,0.87,0.93,0.77,0.87,0.9,0.0,0.9,0.77,0.93,0.83,0.83
JF11,0.8,0.83,0.93,0.7,0.57,0.7,0.9,0.0,0.63,0.8,0.7,0.7
JA112,0.83,0.8,0.83,0.6,0.6,0.43,0.77,0.63,0.0,0.61,0.67,0.83
EE11,0.82,0.9,0.97,0.79,0.7,0.8,0.93,0.8,0.61,0.0,0.82,0.82
FH41,0.77,0.9,0.77,0.43,0.63,0.8,0.83,0.7,0.67,0.82,0.0,0.3
LA5,0.8,0.83,0.87,0.57,0.6,0.8,0.83,0.7,0.83,0.82,0.3,0.0
