 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,0.063,0.000,0.175,0.169,0.037,0.119,0.082,0.733,0.133,0.596,0.055,0.118,0.673,0.000,0.048,0.215,0.013,0.065,0.039,0.455,0.000,0.040,0.000,0.012,0.013,0.000,0.045,0.000
model.000.01.pdb,0.000,0.000,0.036,0.341,0.000,0.250,0.000,0.511,0.027,0.304,0.063,0.103,0.385,0.000,0.083,0.302,0.047,0.108,0.062,0.167,0.036,0.097,0.000,0.000,0.000,0.000,0.111,0.000
model.000.02.pdb,0.012,0.000,0.000,0.438,0.000,0.471,0.000,0.130,0.012,0.122,0.027,0.181,0.139,0.013,0.222,0.274,0.167,0.065,0.082,0.067,0.511,0.219,0.000,0.000,0.026,0.000,0.556,0.000
model.000.03.pdb,0.000,0.000,0.000,0.176,0.000,0.347,0.000,0.000,0.000,0.000,0.153,0.013,0.000,0.161,0.039,0.207,0.388,0.237,0.296,0.000,0.513,0.500,0.000,0.000,0.000,0.000,0.488,0.000
model.000.04.pdb,0.000,0.000,0.049,0.200,0.000,0.220,0.000,0.136,0.000,0.053,0.542,0.000,0.113,0.219,0.000,0.520,0.451,0.549,0.583,0.055,0.161,0.471,0.000,0.000,0.000,0.000,0.136,0.000
model.000.05.pdb,0.000,0.000,0.000,0.244,0.000,0.442,0.000,0.016,0.000,0.000,0.067,0.059,0.000,0.046,0.103,0.222,0.255,0.113,0.138,0.000,0.667,0.383,0.000,0.000,0.000,0.000,0.629,0.000
model.000.06.pdb,0.000,0.000,0.000,0.159,0.000,0.254,0.000,0.038,0.000,0.012,0.588,0.000,0.024,0.371,0.011,0.339,0.653,0.720,0.804,0.000,0.200,0.608,0.000,0.000,0.000,0.000,0.194,0.000
model.000.07.pdb,0.000,0.000,0.077,0.261,0.000,0.208,0.000,0.523,0.014,0.263,0.158,0.028,0.392,0.000,0.013,0.360,0.065,0.145,0.115,0.211,0.036,0.117,0.000,0.000,0.000,0.000,0.093,0.000
model.000.08.pdb,0.000,0.000,0.118,0.229,0.000,0.182,0.000,0.478,0.014,0.259,0.175,0.027,0.385,0.000,0.000,0.353,0.063,0.143,0.131,0.250,0.018,0.115,0.000,0.000,0.000,0.000,0.071,0.000
model.000.09.pdb,0.273,0.651,0.015,0.000,0.355,0.000,0.274,0.000,0.197,0.000,0.000,0.049,0.000,0.066,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.612,0.390,0.258,0.636,0.000,0.591
