 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,1.000,0.327,0.169,0.000,0.564,0.000,0.620,0.053,0.776,0.181,0.000,0.208,0.120,0.000,0.216,0.000,0.000,0.000,0.000,0.171,0.000,0.000,0.373,0.500,0.538,0.370,0.000,0.333
model.000.01.pdb,0.327,1.000,0.018,0.000,0.377,0.000,0.283,0.000,0.233,0.000,0.000,0.042,0.000,0.014,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.619,0.420,0.264,0.694,0.000,0.686
model.000.02.pdb,0.169,0.018,1.000,0.000,0.190,0.000,0.280,0.125,0.228,0.308,0.051,0.045,0.241,0.048,0.000,0.032,0.000,0.000,0.000,0.413,0.000,0.000,0.067,0.196,0.050,0.018,0.000,0.019
model.000.03.pdb,0.000,0.000,0.000,1.000,0.000,0.632,0.000,0.204,0.000,0.061,0.067,0.014,0.078,0.015,0.071,0.500,0.208,0.131,0.119,0.031,0.341,0.275,0.000,0.000,0.000,0.000,0.390,0.000
model.000.04.pdb,0.564,0.377,0.190,0.000,1.000,0.000,0.723,0.026,0.500,0.133,0.000,0.087,0.077,0.012,0.098,0.000,0.000,0.000,0.000,0.123,0.000,0.000,0.558,0.527,0.290,0.321,0.000,0.440
model.000.05.pdb,0.000,0.000,0.000,0.632,0.000,1.000,0.000,0.145,0.000,0.027,0.111,0.026,0.042,0.042,0.080,0.440,0.321,0.172,0.200,0.000,0.525,0.420,0.000,0.000,0.000,0.000,0.575,0.000
model.000.06.pdb,0.620,0.283,0.280,0.000,0.723,0.000,1.000,0.056,0.608,0.194,0.000,0.108,0.129,0.013,0.118,0.000,0.000,0.000,0.000,0.185,0.000,0.000,0.407,0.519,0.316,0.302,0.000,0.314
model.000.07.pdb,0.053,0.000,0.125,0.204,0.026,0.145,0.056,1.000,0.110,0.411,0.043,0.125,0.560,0.000,0.037,0.250,0.014,0.068,0.027,0.434,0.016,0.057,0.000,0.000,0.014,0.000,0.065,0.000
model.000.08.pdb,0.776,0.233,0.228,0.000,0.500,0.000,0.608,0.110,1.000,0.265,0.000,0.239,0.197,0.000,0.230,0.000,0.000,0.000,0.000,0.258,0.000,0.000,0.281,0.393,0.473,0.271,0.000,0.237
model.000.09.pdb,0.181,0.000,0.308,0.061,0.133,0.027,0.194,0.411,0.265,1.000,0.013,0.178,0.694,0.000,0.085,0.081,0.000,0.012,0.013,0.620,0.000,0.000,0.039,0.078,0.068,0.014,0.014,0.014
model.000.10.pdb,0.000,0.000,0.051,0.067,0.000,0.111,0.000,0.043,0.000,0.013,1.000,0.000,0.055,0.434,0.000,0.254,0.469,0.638,0.682,0.042,0.068,0.352,0.000,0.000,0.000,0.000,0.048,0.000
model.000.11.pdb,0.208,0.042,0.045,0.014,0.087,0.026,0.108,0.125,0.239,0.178,0.000,1.000,0.197,0.000,0.569,0.000,0.000,0.000,0.000,0.169,0.060,0.000,0.051,0.024,0.306,0.071,0.043,0.043
model.000.12.pdb,0.120,0.000,0.241,0.078,0.077,0.042,0.129,0.560,0.197,0.694,0.055,0.197,1.000,0.000,0.114,0.145,0.000,0.038,0.026,0.569,0.000,0.013,0.013,0.025,0.054,0.014,0.029,0.014
model.000.13.pdb,0.000,0.014,0.048,0.015,0.012,0.042,0.013,0.000,0.000,0.000,0.434,0.000,0.000,1.000,0.000,0.099,0.333,0.446,0.368,0.000,0.047,0.203,0.026,0.080,0.000,0.000,0.030,0.000
model.000.14.pdb,0.216,0.132,0.000,0.071,0.098,0.080,0.118,0.037,0.230,0.085,0.000,0.569,0.114,0.000,1.000,0.037,0.012,0.000,0.000,0.062,0.104,0.024,0.118,0.100,0.400,0.147,0.070,0.101
model.000.15.pdb,0.000,0.000,0.032,0.500,0.000,0.440,0.000,0.250,0.000,0.081,0.254,0.000,0.145,0.099,0.037,1.000,0.345,0.362,0.333,0.055,0.300,0.415,0.000,0.000,0.000,0.000,0.314,0.000
model.000.16.pdb,0.000,0.000,0.000,0.208,0.000,0.321,0.000,0.014,0.000,0.000,0.469,0.000,0.000,0.333,0.012,0.345,1.000,0.540,0.609,0.000,0.286,0.698,0.000,0.000,0.000,0.000,0.275,0.000
model.000.17.pdb,0.000,0.000,0.000,0.131,0.000,0.172,0.000,0.068,0.000,0.012,0.638,0.000,0.038,0.446,0.000,0.362,0.540,1.000,0.681,0.000,0.115,0.444,0.000,0.000,0.000,0.000,0.094,0.000
model.000.18.pdb,0.000,0.000,0.000,0.119,0.000,0.200,0.000,0.027,0.000,0.013,0.682,0.000,0.026,0.368,0.000,0.333,0.609,0.681,1.000,0.013,0.161,0.500,0.000,0.000,0.000,0.000,0.155,0.000
model.000.19.pdb,0.171,0.000,0.413,0.031,0.123,0.000,0.185,0.434,0.258,0.620,0.042,0.169,0.569,0.000,0.062,0.055,0.000,0.000,0.013,1.000,0.000,0.000,0.027,0.081,0.070,0.014,0.015,0.015
model.000.20.pdb,0.000,0.000,0.000,0.341,0.000,0.525,0.000,0.016,0.000,0.000,0.068,0.060,0.000,0.047,0.104,0.300,0.286,0.115,0.161,0.000,1.000,0.362,0.000,0.000,0.000,0.000,0.750,0.000
model.000.21.pdb,0.000,0.000,0.000,0.275,0.000,0.420,0.000,0.057,0.000,0.000,0.352,0.000,0.013,0.203,0.024,0.415,0.698,0.444,0.500,0.000,0.362,1.000,0.000,0.000,0.000,0.000,0.347,0.000
model.000.22.pdb,0.373,0.619,0.067,0.000,0.558,0.000,0.407,0.000,0.281,0.039,0.000,0.051,0.013,0.026,0.118,0.000,0.000,0.000,0.000,0.027,0.000,0.000,1.000,0.549,0.293,0.568,0.000,0.595
model.000.23.pdb,0.500,0.420,0.196,0.000,0.527,0.000,0.519,0.000,0.393,0.078,0.000,0.024,0.025,0.080,0.100,0.000,0.000,0.000,0.000,0.081,0.000,0.000,0.549,1.000,0.300,0.440,0.000,0.429
model.000.24.pdb,0.538,0.264,0.050,0.000,0.290,0.000,0.316,0.014,0.473,0.068,0.000,0.306,0.054,0.000,0.400,0.000,0.000,0.000,0.000,0.070,0.000,0.000,0.293,0.300,1.000,0.360,0.000,0.294
model.000.25.pdb,0.370,0.694,0.018,0.000,0.321,0.000,0.302,0.000,0.271,0.014,0.000,0.071,0.014,0.000,0.147,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.568,0.440,0.360,1.000,0.000,0.714
model.000.26.pdb,0.000,0.000,0.000,0.390,0.000,0.575,0.000,0.065,0.000,0.014,0.048,0.043,0.029,0.030,0.070,0.314,0.275,0.094,0.155,0.015,0.750,0.347,0.000,0.000,0.000,0.000,1.000,0.000
model.000.27.pdb,0.333,0.686,0.019,0.000,0.440,0.000,0.314,0.000,0.237,0.014,0.000,0.043,0.014,0.000,0.101,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.595,0.429,0.294,0.714,0.000,1.000
