 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.10.pdb,0.111,0.043,0.095,0.076,0.014,0.164,0.220,0.027,0.246,0.000,1.000,0.509,0.415,0.092,0.095,0.000,0.000,0.000,0.543,0.000,0.532,0.029,0.000,0.345,0.024,0.000,0.400,0.055,0.000,0.385
model.000.11.pdb,0.328,0.013,0.158,0.279,0.000,0.322,0.386,0.000,0.456,0.000,0.509,1.000,0.640,0.300,0.357,0.000,0.000,0.000,0.279,0.134,0.519,0.000,0.000,0.545,0.000,0.000,0.380,0.235,0.000,0.215
model.000.12.pdb,0.353,0.000,0.111,0.346,0.000,0.458,0.578,0.000,0.596,0.000,0.415,0.640,1.000,0.373,0.333,0.000,0.000,0.000,0.228,0.133,0.578,0.000,0.000,0.711,0.000,0.000,0.343,0.288,0.000,0.164
model.000.13.pdb,0.625,0.000,0.188,0.737,0.000,0.404,0.426,0.000,0.449,0.000,0.092,0.300,0.373,1.000,0.524,0.013,0.028,0.041,0.015,0.488,0.264,0.000,0.064,0.377,0.000,0.000,0.132,0.674,0.052,0.031
model.000.14.pdb,0.703,0.000,0.276,0.422,0.000,0.208,0.250,0.000,0.327,0.000,0.095,0.357,0.333,0.524,1.000,0.028,0.000,0.014,0.016,0.442,0.275,0.000,0.038,0.246,0.000,0.000,0.077,0.373,0.026,0.121
model.000.15.pdb,0.027,0.027,0.284,0.000,0.013,0.000,0.000,0.139,0.000,0.173,0.000,0.000,0.000,0.013,0.028,1.000,0.122,0.132,0.000,0.028,0.000,0.041,0.274,0.000,0.589,0.286,0.000,0.012,0.083,0.041
model.000.16.pdb,0.000,0.298,0.000,0.043,0.553,0.000,0.000,0.082,0.000,0.604,0.000,0.000,0.000,0.028,0.000,0.122,1.000,0.729,0.000,0.092,0.000,0.298,0.452,0.000,0.036,0.099,0.069,0.053,0.725,0.000
model.000.17.pdb,0.014,0.283,0.024,0.041,0.462,0.000,0.000,0.093,0.000,0.492,0.000,0.000,0.000,0.041,0.014,0.132,0.729,1.000,0.000,0.121,0.000,0.305,0.500,0.000,0.011,0.080,0.043,0.079,0.655,0.000
model.000.18.pdb,0.016,0.081,0.027,0.000,0.031,0.100,0.136,0.125,0.164,0.000,0.543,0.279,0.228,0.015,0.016,0.000,0.000,0.000,1.000,0.000,0.241,0.063,0.000,0.197,0.026,0.044,0.344,0.014,0.000,0.288
model.000.19.pdb,0.465,0.000,0.194,0.488,0.032,0.123,0.140,0.000,0.190,0.056,0.000,0.134,0.133,0.488,0.442,0.028,0.092,0.121,0.000,1.000,0.083,0.000,0.110,0.127,0.000,0.000,0.000,0.556,0.113,0.000
model.000.20.pdb,0.294,0.000,0.132,0.241,0.000,0.264,0.360,0.028,0.358,0.000,0.532,0.519,0.578,0.264,0.275,0.000,0.000,0.000,0.241,0.083,1.000,0.000,0.000,0.510,0.013,0.000,0.243,0.177,0.000,0.283
model.000.21.pdb,0.000,0.744,0.000,0.000,0.523,0.000,0.000,0.377,0.000,0.339,0.029,0.000,0.000,0.000,0.000,0.041,0.298,0.305,0.063,0.000,0.000,1.000,0.273,0.000,0.039,0.309,0.036,0.000,0.281,0.000
model.000.22.pdb,0.038,0.254,0.094,0.051,0.258,0.000,0.000,0.141,0.000,0.484,0.000,0.000,0.000,0.064,0.038,0.274,0.452,0.500,0.000,0.110,0.000,0.273,1.000,0.000,0.185,0.239,0.010,0.085,0.400,0.000
model.000.23.pdb,0.286,0.000,0.078,0.352,0.000,0.622,0.762,0.000,0.733,0.000,0.345,0.545,0.711,0.377,0.246,0.000,0.000,0.000,0.197,0.127,0.510,0.000,0.000,1.000,0.000,0.000,0.431,0.339,0.000,0.104
model.000.24.pdb,0.000,0.026,0.369,0.000,0.000,0.000,0.000,0.197,0.000,0.123,0.024,0.000,0.000,0.000,0.000,0.589,0.036,0.011,0.026,0.000,0.013,0.039,0.185,0.000,1.000,0.292,0.000,0.000,0.000,0.096
model.000.25.pdb,0.000,0.241,0.038,0.000,0.145,0.000,0.000,0.510,0.000,0.203,0.000,0.000,0.000,0.000,0.000,0.286,0.099,0.080,0.044,0.000,0.000,0.309,0.239,0.000,0.292,1.000,0.000,0.000,0.075,0.014
model.000.26.pdb,0.104,0.061,0.032,0.117,0.103,0.387,0.381,0.011,0.379,0.101,0.400,0.380,0.343,0.132,0.077,0.000,0.069,0.043,0.344,0.000,0.243,0.036,0.010,0.431,0.000,0.000,1.000,0.150,0.063,0.130
model.000.27.pdb,0.449,0.000,0.123,0.714,0.014,0.385,0.404,0.000,0.400,0.024,0.055,0.235,0.288,0.674,0.373,0.012,0.053,0.079,0.014,0.556,0.177,0.000,0.085,0.339,0.000,0.000,0.150,1.000,0.074,0.000
model.000.28.pdb,0.026,0.302,0.022,0.052,0.500,0.000,0.000,0.087,0.000,0.476,0.000,0.000,0.000,0.052,0.026,0.083,0.725,0.655,0.000,0.113,0.000,0.281,0.400,0.000,0.000,0.075,0.063,0.074,1.000,0.000
model.000.29.pdb,0.082,0.015,0.203,0.031,0.000,0.031,0.046,0.141,0.059,0.000,0.385,0.215,0.164,0.031,0.121,0.041,0.000,0.000,0.288,0.000,0.283,0.000,0.000,0.104,0.096,0.014,0.130,0.000,0.000,1.000
