 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,0.000,0.000,0.000,0.619,0.000,0.510,0.000,0.222,0.000,0.139,0.070,0.135,0.157,0.026,0.176,0.444,0.188,0.125,0.130,0.068,0.340,0.242,0.000,0.000,0.013,0.000,0.380,0.000
model.000.01.pdb,0.000,0.000,0.000,0.068,0.000,0.169,0.000,0.000,0.000,0.000,0.224,0.000,0.000,0.271,0.012,0.090,0.315,0.246,0.304,0.000,0.240,0.358,0.000,0.000,0.000,0.000,0.231,0.000
model.000.02.pdb,0.455,0.288,0.312,0.000,0.600,0.000,0.596,0.042,0.397,0.162,0.000,0.052,0.083,0.055,0.063,0.000,0.000,0.000,0.000,0.169,0.000,0.000,0.415,0.560,0.254,0.333,0.000,0.404
model.000.03.pdb,0.014,0.000,0.000,0.538,0.000,0.347,0.000,0.327,0.027,0.213,0.046,0.101,0.259,0.000,0.145,0.400,0.097,0.123,0.061,0.109,0.157,0.150,0.000,0.000,0.015,0.000,0.245,0.000
model.000.04.pdb,0.688,0.214,0.231,0.000,0.421,0.000,0.551,0.119,0.745,0.270,0.000,0.262,0.197,0.000,0.250,0.000,0.000,0.000,0.000,0.262,0.000,0.000,0.267,0.339,0.500,0.278,0.000,0.218
model.000.05.pdb,0.179,0.117,0.000,0.091,0.065,0.098,0.080,0.033,0.176,0.065,0.000,0.471,0.078,0.000,0.635,0.033,0.011,0.000,0.000,0.044,0.137,0.022,0.093,0.090,0.329,0.130,0.133,0.076
model.000.06.pdb,0.027,0.000,0.000,0.386,0.000,0.288,0.000,0.207,0.041,0.172,0.015,0.242,0.194,0.000,0.290,0.224,0.045,0.028,0.014,0.108,0.224,0.094,0.000,0.000,0.045,0.000,0.265,0.000
model.000.07.pdb,0.065,0.000,0.581,0.000,0.082,0.000,0.130,0.111,0.117,0.226,0.135,0.000,0.231,0.050,0.000,0.052,0.000,0.049,0.089,0.319,0.000,0.017,0.034,0.123,0.000,0.000,0.000,0.000
model.000.08.pdb,0.000,0.000,0.075,0.283,0.000,0.226,0.000,0.545,0.014,0.259,0.155,0.014,0.385,0.000,0.000,0.408,0.098,0.161,0.131,0.207,0.055,0.153,0.000,0.000,0.000,0.000,0.091,0.000
model.000.09.pdb,0.121,0.000,0.188,0.093,0.088,0.032,0.150,0.417,0.210,0.622,0.000,0.230,0.600,0.000,0.114,0.113,0.000,0.014,0.000,0.458,0.000,0.000,0.015,0.014,0.062,0.016,0.034,0.017
