 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,0.000,0.000,0.000,0.089,0.000,0.241,0.000,0.000,0.000,0.000,0.045,0.055,0.000,0.074,0.081,0.109,0.190,0.088,0.127,0.000,0.395,0.273,0.000,0.000,0.000,0.000,0.378,0.000
model.000.01.pdb,0.000,0.000,0.019,0.366,0.000,0.265,0.000,0.477,0.014,0.273,0.067,0.075,0.353,0.000,0.056,0.347,0.049,0.113,0.065,0.136,0.058,0.102,0.000,0.000,0.000,0.000,0.118,0.000
model.000.02.pdb,0.012,0.000,0.000,0.367,0.000,0.460,0.000,0.101,0.012,0.095,0.014,0.203,0.111,0.000,0.246,0.222,0.154,0.053,0.069,0.040,0.500,0.206,0.000,0.000,0.041,0.000,0.545,0.000
model.000.03.pdb,0.000,0.000,0.113,0.245,0.000,0.175,0.000,0.458,0.013,0.250,0.211,0.027,0.370,0.014,0.000,0.365,0.078,0.175,0.164,0.263,0.034,0.129,0.000,0.000,0.000,0.000,0.088,0.000
model.000.04.pdb,0.108,0.000,0.275,0.098,0.079,0.058,0.132,0.551,0.186,0.653,0.042,0.153,0.667,0.000,0.062,0.167,0.000,0.053,0.013,0.529,0.000,0.013,0.000,0.039,0.027,0.000,0.030,0.000
model.000.05.pdb,0.154,0.000,0.304,0.056,0.125,0.025,0.181,0.500,0.247,0.745,0.051,0.197,0.796,0.000,0.106,0.118,0.000,0.035,0.024,0.686,0.000,0.012,0.012,0.048,0.077,0.013,0.013,0.013
model.000.06.pdb,0.000,0.000,0.034,0.260,0.000,0.255,0.000,0.180,0.000,0.069,0.449,0.000,0.118,0.172,0.000,0.622,0.420,0.520,0.521,0.042,0.192,0.440,0.000,0.000,0.000,0.000,0.164,0.000
model.000.07.pdb,0.000,0.000,0.000,0.244,0.000,0.442,0.000,0.016,0.000,0.000,0.067,0.059,0.000,0.046,0.103,0.222,0.255,0.113,0.138,0.000,0.667,0.383,0.000,0.000,0.000,0.000,0.629,0.000
model.000.08.pdb,0.649,0.227,0.203,0.000,0.446,0.000,0.508,0.100,0.696,0.240,0.000,0.319,0.195,0.000,0.342,0.000,0.000,0.000,0.000,0.233,0.000,0.000,0.290,0.333,0.544,0.281,0.000,0.250
model.000.09.pdb,0.026,0.102,0.000,0.000,0.083,0.015,0.028,0.000,0.000,0.000,0.291,0.000,0.000,0.562,0.000,0.043,0.224,0.310,0.259,0.000,0.016,0.125,0.090,0.086,0.000,0.082,0.000,0.123
model.000.10.pdb,0.000,0.000,0.015,0.145,0.000,0.242,0.000,0.026,0.000,0.000,0.612,0.000,0.024,0.361,0.011,0.328,0.681,0.680,0.841,0.025,0.207,0.600,0.000,0.000,0.000,0.000,0.200,0.000
model.000.11.pdb,0.117,0.000,0.211,0.092,0.089,0.055,0.141,0.600,0.192,0.667,0.039,0.160,0.680,0.000,0.059,0.157,0.000,0.037,0.025,0.547,0.000,0.013,0.013,0.024,0.053,0.014,0.043,0.014
model.000.12.pdb,0.080,0.000,0.362,0.082,0.095,0.043,0.134,0.471,0.139,0.538,0.088,0.038,0.580,0.000,0.000,0.169,0.014,0.068,0.056,0.540,0.000,0.027,0.027,0.082,0.000,0.000,0.015,0.000
model.000.13.pdb,0.000,0.000,0.059,0.302,0.000,0.216,0.000,0.585,0.014,0.296,0.085,0.059,0.408,0.000,0.027,0.347,0.049,0.113,0.065,0.196,0.038,0.102,0.000,0.000,0.000,0.000,0.096,0.000
model.000.14.pdb,0.500,0.423,0.250,0.000,0.554,0.000,0.640,0.038,0.467,0.147,0.000,0.073,0.090,0.063,0.123,0.000,0.000,0.000,0.000,0.153,0.000,0.000,0.547,0.700,0.306,0.442,0.000,0.404
model.000.15.pdb,0.000,0.000,0.000,0.354,0.000,0.479,0.000,0.121,0.000,0.000,0.327,0.000,0.040,0.167,0.024,0.630,0.521,0.444,0.500,0.000,0.333,0.609,0.000,0.000,0.000,0.000,0.375,0.000
model.000.16.pdb,0.373,0.259,0.280,0.000,0.558,0.000,0.520,0.027,0.323,0.143,0.014,0.038,0.082,0.099,0.037,0.000,0.000,0.013,0.000,0.149,0.000,0.000,0.382,0.549,0.172,0.255,0.000,0.314
model.000.17.pdb,0.483,0.431,0.169,0.000,0.654,0.000,0.588,0.039,0.450,0.149,0.000,0.115,0.105,0.012,0.139,0.000,0.000,0.000,0.000,0.139,0.000,0.000,0.558,0.474,0.311,0.480,0.000,0.469
model.000.18.pdb,0.582,0.321,0.296,0.000,0.642,0.000,0.673,0.052,0.600,0.194,0.000,0.143,0.133,0.050,0.138,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.439,0.545,0.350,0.316,0.000,0.304
model.000.19.pdb,0.000,0.000,0.000,0.068,0.000,0.169,0.000,0.000,0.000,0.000,0.109,0.013,0.000,0.172,0.025,0.090,0.224,0.134,0.197,0.000,0.265,0.286,0.000,0.000,0.000,0.015,0.255,0.000
model.000.20.pdb,0.000,0.000,0.000,0.213,0.000,0.400,0.000,0.000,0.000,0.000,0.102,0.058,0.000,0.078,0.086,0.218,0.354,0.167,0.218,0.000,0.647,0.467,0.000,0.000,0.000,0.000,0.611,0.000
model.000.21.pdb,0.000,0.000,0.018,0.405,0.000,0.327,0.000,0.447,0.014,0.197,0.136,0.042,0.286,0.000,0.026,0.468,0.098,0.180,0.113,0.129,0.094,0.172,0.000,0.000,0.000,0.000,0.176,0.000
model.000.22.pdb,0.589,0.407,0.286,0.000,0.589,0.000,0.680,0.064,0.552,0.189,0.000,0.125,0.130,0.024,0.148,0.000,0.000,0.000,0.000,0.197,0.000,0.000,0.474,0.554,0.361,0.426,0.000,0.442
model.000.23.pdb,0.032,0.000,0.000,0.163,0.000,0.077,0.000,0.439,0.065,0.306,0.018,0.158,0.432,0.000,0.113,0.200,0.000,0.068,0.017,0.196,0.000,0.017,0.000,0.000,0.035,0.000,0.062,0.000
model.000.24.pdb,0.519,0.150,0.250,0.000,0.439,0.000,0.540,0.169,0.694,0.350,0.000,0.239,0.290,0.000,0.211,0.000,0.000,0.000,0.000,0.345,0.000,0.000,0.222,0.290,0.333,0.186,0.000,0.214
model.000.25.pdb,0.500,0.477,0.220,0.000,0.500,0.000,0.553,0.043,0.463,0.167,0.000,0.082,0.086,0.014,0.108,0.000,0.000,0.000,0.000,0.156,0.000,0.000,0.521,0.490,0.358,0.535,0.000,0.488
model.000.26.pdb,0.444,0.625,0.070,0.000,0.500,0.000,0.431,0.000,0.339,0.055,0.000,0.053,0.013,0.027,0.123,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.738,0.583,0.333,0.610,0.000,0.641
model.000.27.pdb,0.464,0.643,0.102,0.000,0.464,0.000,0.426,0.000,0.361,0.066,0.000,0.064,0.013,0.000,0.162,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.604,0.509,0.357,0.628,0.000,0.619
model.000.28.pdb,0.123,0.000,0.275,0.098,0.079,0.043,0.132,0.583,0.203,0.653,0.042,0.169,0.778,0.000,0.075,0.167,0.000,0.039,0.013,0.625,0.000,0.013,0.000,0.039,0.041,0.000,0.046,0.000
model.000.29.pdb,0.014,0.000,0.038,0.333,0.000,0.240,0.000,0.512,0.043,0.346,0.049,0.108,0.380,0.000,0.087,0.269,0.049,0.078,0.048,0.196,0.038,0.083,0.000,0.000,0.016,0.000,0.096,0.000
