 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.000,0.113,0.000,0.068,0.000,0.222,0.042,0.014,0.000,0.231,0.220,0.226,0.490,0.275,0.365,0.458,0.108,0.000,0.222,0.056,0.553,0.000,0.153,0.054,0.000
model.000.01.pdb,0.161,0.000,0.136,0.283,0.309,0.000,0.014,0.186,0.690,0.000,0.000,0.033,0.000,0.000,0.015,0.000,0.000,0.134,0.000,0.377,0.000,0.255,0.174,0.036,0.183
model.000.02.pdb,0.346,0.069,0.509,0.051,0.453,0.000,0.305,0.389,0.206,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.076,0.588,0.013,0.099,0.000,0.451,0.012,0.107,0.462
model.000.03.pdb,0.158,0.000,0.134,0.300,0.304,0.000,0.014,0.183,0.600,0.000,0.000,0.049,0.000,0.000,0.029,0.000,0.000,0.132,0.000,0.396,0.000,0.250,0.242,0.036,0.180
model.000.04.pdb,0.130,0.019,0.246,0.074,0.236,0.000,0.115,0.222,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.286,0.000,0.113,0.000,0.300,0.000,0.039,0.218
model.000.05.pdb,0.030,0.304,0.026,0.013,0.027,0.196,0.103,0.090,0.000,0.477,0.237,0.245,0.451,0.245,0.309,0.511,0.122,0.026,0.258,0.013,0.451,0.029,0.151,0.200,0.028
model.000.06.pdb,0.132,0.000,0.250,0.029,0.136,0.000,0.098,0.182,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.315,0.000,0.030,0.000,0.255,0.000,0.020,0.200
model.000.07.pdb,0.102,0.000,0.190,0.149,0.200,0.000,0.043,0.167,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.206,0.000,0.197,0.000,0.190,0.038,0.000,0.145
model.000.08.pdb,0.000,0.000,0.000,0.660,0.000,0.000,0.000,0.000,0.185,0.000,0.000,0.150,0.000,0.000,0.172,0.072,0.000,0.000,0.000,0.519,0.000,0.000,0.338,0.000,0.000
model.000.09.pdb,0.042,0.031,0.012,0.554,0.065,0.000,0.000,0.067,0.397,0.075,0.013,0.352,0.052,0.014,0.317,0.182,0.000,0.000,0.024,0.596,0.052,0.053,0.625,0.031,0.038
model.000.10.pdb,0.040,0.000,0.143,0.023,0.024,0.000,0.090,0.037,0.050,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.134,0.187,0.023,0.024,0.000,0.093,0.000,0.000,0.050
model.000.11.pdb,0.490,0.097,0.509,0.086,0.627,0.000,0.277,0.473,0.302,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.475,0.036,0.135,0.000,0.569,0.082,0.172,0.577
