 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.12.pdb,0.194,0.457,0.016,0.000,0.333,0.000,0.250,0.000,0.125,0.000,0.014,0.025,0.000,0.085,0.037,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.442,0.368,0.156,0.478,0.000,0.535
model.000.13.pdb,0.385,0.639,0.058,0.000,0.412,0.000,0.340,0.000,0.281,0.029,0.000,0.058,0.000,0.015,0.118,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.634,0.489,0.320,0.622,0.000,0.657
model.000.14.pdb,0.013,0.083,0.052,0.000,0.099,0.000,0.043,0.000,0.000,0.000,0.224,0.000,0.000,0.596,0.000,0.014,0.145,0.226,0.177,0.000,0.000,0.059,0.123,0.152,0.000,0.048,0.000,0.067
model.000.15.pdb,0.100,0.208,0.091,0.000,0.203,0.000,0.143,0.000,0.068,0.000,0.129,0.013,0.000,0.321,0.000,0.000,0.061,0.103,0.059,0.014,0.000,0.000,0.220,0.293,0.044,0.161,0.000,0.189
model.000.16.pdb,0.618,0.246,0.091,0.000,0.391,0.000,0.424,0.064,0.579,0.143,0.000,0.343,0.101,0.000,0.348,0.000,0.000,0.000,0.000,0.149,0.000,0.000,0.312,0.299,0.660,0.305,0.000,0.250
model.000.17.pdb,0.149,0.000,0.193,0.094,0.118,0.056,0.176,0.580,0.246,0.680,0.013,0.229,0.694,0.000,0.113,0.111,0.000,0.012,0.013,0.588,0.000,0.000,0.013,0.037,0.068,0.014,0.044,0.014
model.000.18.pdb,0.647,0.511,0.136,0.000,0.647,0.000,0.549,0.026,0.518,0.122,0.000,0.104,0.065,0.013,0.158,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.549,0.547,0.418,0.500,0.000,0.522
model.000.19.pdb,0.000,0.000,0.000,0.155,0.000,0.217,0.000,0.070,0.000,0.000,0.596,0.000,0.026,0.386,0.000,0.400,0.596,0.739,0.833,0.000,0.179,0.551,0.000,0.000,0.000,0.000,0.153,0.000
model.000.20.pdb,0.250,0.523,0.050,0.000,0.404,0.000,0.316,0.000,0.174,0.013,0.014,0.025,0.000,0.069,0.063,0.000,0.014,0.000,0.000,0.013,0.000,0.000,0.596,0.472,0.175,0.511,0.000,0.571
model.000.21.pdb,0.054,0.000,0.298,0.086,0.068,0.030,0.106,0.469,0.129,0.510,0.092,0.068,0.652,0.014,0.025,0.159,0.000,0.056,0.058,0.510,0.000,0.014,0.000,0.041,0.000,0.000,0.032,0.000
model.000.22.pdb,0.000,0.013,0.058,0.014,0.023,0.038,0.024,0.012,0.000,0.000,0.537,0.000,0.011,0.673,0.000,0.133,0.339,0.517,0.441,0.024,0.042,0.254,0.024,0.073,0.000,0.000,0.027,0.000
model.000.23.pdb,0.138,0.019,0.690,0.000,0.179,0.000,0.245,0.111,0.196,0.275,0.017,0.015,0.231,0.016,0.000,0.017,0.000,0.000,0.000,0.348,0.000,0.000,0.070,0.185,0.017,0.019,0.000,0.020
model.000.24.pdb,0.067,0.000,0.312,0.048,0.067,0.014,0.119,0.480,0.141,0.580,0.074,0.066,0.625,0.000,0.012,0.119,0.000,0.040,0.042,0.551,0.000,0.014,0.000,0.040,0.000,0.000,0.015,0.000
