Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.9,0.65,0.775,0.8,0.75,0.8
G3,0.9,0.0,0.45,0.65,0.475,0.575,0.725
A4,0.65,0.45,0.0,0.375,0.4,0.55,0.45
B10,0.775,0.65,0.375,0.0,0.325,0.375,0.275
C6,0.8,0.475,0.4,0.325,0.0,0.4,0.3
D3,0.75,0.575,0.55,0.375,0.4,0.0,0.45
B3,0.8,0.725,0.45,0.275,0.3,0.45,0.0
