Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.475,0.525,0.475,0.55,0.575,0.6
G3,0.475,0.0,0.2,0.275,0.15,0.2,0.275
A4,0.525,0.2,0.0,0.125,0.1,0.175,0.1
B10,0.475,0.275,0.125,0.0,0.1,0.25,0.125
C6,0.55,0.15,0.1,0.1,0.0,0.1,0.05
D3,0.575,0.2,0.175,0.25,0.1,0.0,0.15
B3,0.6,0.275,0.1,0.125,0.05,0.15,0.0
