Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.7,0.55,0.65,0.675,0.625,0.8
G3,0.7,0.0,0.3,0.425,0.375,0.3,0.475
A4,0.55,0.3,0.0,0.225,0.15,0.275,0.25
B10,0.65,0.425,0.225,0.0,0.15,0.275,0.25
C6,0.675,0.375,0.15,0.15,0.0,0.175,0.075
D3,0.625,0.3,0.275,0.275,0.175,0.0,0.225
B3,0.8,0.475,0.25,0.25,0.075,0.225,0.0
