Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.4,0.425,0.4,0.45,0.45,0.4
G3,0.4,0.0,0.125,0.125,0.1,0.05,0.175
A4,0.425,0.125,0.0,0.075,0.025,0.1,0.075
B10,0.4,0.125,0.075,0.0,0.075,0.225,0.0
C6,0.45,0.1,0.025,0.075,0.0,0.075,0.05
D3,0.45,0.05,0.1,0.225,0.075,0.0,0.125
B3,0.4,0.175,0.075,0.0,0.05,0.125,0.0
