 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.044,0.130,0.125,0.014,0.000
model.000.01.pdb,0.000,0.207,0.000,0.000,0.000
model.000.02.pdb,0.095,0.143,0.141,0.024,0.000
model.000.03.pdb,0.092,0.000,0.190,0.706,0.382
model.000.04.pdb,0.099,0.090,0.273,0.108,0.014
