 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.491,0.000,0.000,0.026,0.373
model.000.01.pdb,0.688,0.000,0.000,0.127,0.627
model.000.02.pdb,0.094,0.066,0.000,0.605,0.161
model.000.03.pdb,0.525,0.060,0.000,0.022,0.439
model.000.04.pdb,0.000,0.196,0.000,0.275,0.079
