 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.286,0.073,0.538,0.000,0.250
model.000.01.pdb,0.088,0.026,0.250,0.000,0.058
model.000.02.pdb,0.014,0.048,0.067,0.000,0.000
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.000,0.000,0.132,0.000,0.088
