 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.014,0.024,0.082,0.000,0.000
model.000.01.pdb,0.345,0.492,0.103,0.283,0.145
model.000.02.pdb,0.000,0.000,0.164,0.000,0.057
model.000.03.pdb,0.000,0.000,0.025,0.000,0.000
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000
