 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.027,0.386,0.102,0.179
model.000.01.pdb,0.373,0.258,0.000,0.015,0.000
model.000.02.pdb,0.039,0.061,0.108,0.056,0.149
model.000.03.pdb,0.000,0.027,0.676,0.100,0.136
model.000.04.pdb,0.380,0.242,0.016,0.000,0.000
