 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.538,0.000,0.000,0.000
model.000.01.pdb,0.538,1.000,0.043,0.000,0.000
model.000.02.pdb,0.000,0.043,1.000,0.000,0.016
model.000.03.pdb,0.000,0.000,0.000,1.000,0.558
model.000.04.pdb,0.000,0.000,0.016,0.558,1.000
