 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.511,0.000
model.000.01.pdb,0.731,0.426,0.217,0.000,0.636
model.000.02.pdb,0.000,0.000,0.036,0.579,0.000
model.000.03.pdb,0.000,0.000,0.000,0.241,0.000
model.000.04.pdb,0.000,0.000,0.000,0.271,0.000
