 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.370,0.034,0.326,0.000,0.298
model.000.01.pdb,0.636,0.262,0.106,0.000,0.343
model.000.02.pdb,0.093,0.000,0.383,0.047,0.093
model.000.03.pdb,0.217,0.364,0.143,0.000,0.431
model.000.04.pdb,0.117,0.000,0.562,0.000,0.136
