 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.491,0.000,0.569
model.000.01.pdb,0.510,0.125,0.000,0.438,0.014
model.000.02.pdb,0.143,0.489,0.000,0.067,0.000
model.000.03.pdb,0.110,0.000,0.114,0.141,0.113
model.000.04.pdb,0.012,0.000,0.446,0.041,0.708
