 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.174,0.073,0.304,0.104,0.014
model.000.01.pdb,0.315,0.000,0.432,0.172,0.067
model.000.02.pdb,0.800,0.000,0.281,0.149,0.321
model.000.03.pdb,0.241,0.000,0.103,0.288,0.806
model.000.04.pdb,0.099,0.000,0.373,0.547,0.224
