 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.409,0.317,0.440,0.000,0.255
model.000.01.pdb,0.083,0.094,0.143,0.000,0.037
model.000.02.pdb,0.628,0.265,0.569,0.012,0.638
model.000.03.pdb,0.000,0.262,0.000,0.000,0.000
model.000.04.pdb,0.486,0.424,0.327,0.000,0.476
