 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.738,0.421,0.000,0.000,0.000
model.000.01.pdb,0.531,0.537,0.079,0.000,0.000
model.000.02.pdb,0.000,0.014,0.727,0.000,0.016
model.000.03.pdb,0.475,0.696,0.026,0.000,0.000
model.000.04.pdb,0.000,0.030,0.514,0.018,0.055
