 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.455,0.640,0.060,0.621,0.015
model.000.01.pdb,0.489,0.380,0.000,0.397,0.000
model.000.02.pdb,0.167,0.250,0.350,0.069,0.042
model.000.03.pdb,0.000,0.000,0.120,0.000,0.209
model.000.04.pdb,0.633,0.577,0.076,0.403,0.000
